med_type,pref_code,med_code,name,address,phone,opener,manager,depts,beds,designated_date,source
病院,34,0110013,中国電力株式会社　中電病院,広島市中区大手町３丁目４－２７,082-241-8221,中国電力　株式会社　代表取締役社長執行役員　中川　賢剛,石橋　克彦,一般　一般　一般　一般　一般　一般　一般　一般　内　外　整外　産婦　皮　ひ　耳い　麻　歯　放　リハ,248,昭32. 7. 1,ika
診療所,34,0110039,瀬戸産婦人科医院,広島市南区東本浦町２２－５,082-281-1359,瀨戸　真理子,瀨戸　真理子,産婦,,平15. 3. 23,ika
診療所,34,0110096,医療法人　灰塚医院,広島市中区基町１８－４－４,082-221-6909,医療法人　灰塚医院　理事長　灰塚　隆敏,灰塚　隆敏,内　呼　胃　小,,平元. 4. 1,ika
病院,34,0110138,国家公務員共済組合連合会　吉島病院,広島市中区吉島東三丁目２－３３,082-241-2167,国家公務員共済組合連合会　理事長　松元　崇,山岡　直樹,一般　結核　療養　内　呼内　消化器内科　糖尿病・内分泌内科　循環器内科　外　呼外　消化器外科　内視鏡内科　内視鏡外科　眼　耳い　麻　放　整外　リハ　緩和ケア内科　呼吸器リハビリテーション科,111,昭32. 9. 1,ika
診療所,34,0110146,日本製鋼所広島製作所診療所,広島市安芸区船越南１丁目６－１,082-822-0173,株式会社　日本製鋼所広島製作所　常務理事所長　荒井　朗,有留　法史,内,,平2. 7. 1,ika
診療所,34,0110179,花栗医院,広島市中区宝町７－７,082-241-5536,花栗　睦和,花栗　睦和,内　循　小,,平9. 11. 1,ika
診療所,34,0110187,医療法人社団はつき会　井槌産婦人科,広島市中区鉄砲町９－２４,082-221-1684,医療法人社団　はつき会　理事長　田中　敏文,田中　敏文,産婦　内,,平14. 4. 1,ika
病院,34,0110237,医療法人　三和会　おおうち病院,広島市中区大手町３丁目７－１１,082-243-0001,医療法人　三和会　理事長　日域　大輔,日域　大輔,療養　内　循環器内科　消化器内科　内視鏡内科　外　整外　肛門外科　リハ,,昭63. 11. 1,ika
病院,34,0110252,医療法人あかね会　土谷総合病院,広島市中区中島町３－３０,082-243-9191,医療法人あかね会　理事長　土谷　治子,土谷　治子,一般　内　呼内　循環器内科　消化器内科　内分泌内科　腎臓内科　感染症内科　人工透析内科　外　心外　肛門外科　整外　精　リウ　小　皮　ひ　産婦　眼　耳い　放　病理　麻,351,昭56. 11. 1,ika
病院,34,0110427,広島赤十字・原爆病院,広島市中区千田町１丁目９－６,082-241-3111,日本赤十字社　社長　清家　篤,有馬　準一,一般　内科　肝臓内科　腎臓内科　血液内科　内分泌・代謝内科　脳内　循環器内科　呼内　消化器内科　消化器外科　精　外科　血管外科　乳腺外科　呼吸器外科　脳外　整外　リハ　リウ　産婦　小　耳鼻咽喉科　頭頸部外科　眼　皮　ひ　放射線診断科　放射線治療科　麻　歯外　病理　形外　救急科　緩和ケア科　小児アレルギー科,565,昭32. 10. 1,ika
診療所,34,0110443,財務省共済組合広島国税局診療所,広島市中区上八丁堀６－３０,082-221-9211,財務省共済組合広島国税局診療所　支部長　辻　貴博,田村　忠正,内,,昭32. 10. 1,ika
病院,34,0110518,松田病院,広島市南区翠４丁目１３－７,082-253-1245,医療法人　翠星会　理事長　松田　文雄,松田　文雄,精神　精　児童精神科,110,平18. 5. 1,ika
診療所,34,0110534,医療法人社団　田中眼科医院,広島市南区翠１丁目３－１５,082-255-6622,医療法人社団　田中眼科医院　理事長　田中　恵子,田中　恵子,眼,,平元. 4. 1,ika
診療所,34,0110633,澤崎産婦人科,広島市南区的場町２丁目２－１５,082-261-2168,澤崎　雅俊,澤崎　雅俊,一般　産婦,,平20. 8. 7,ika
診療所,34,0110757,田村医院,広島市南区宇品海岸２丁目１２－２５,082-251-4043,医療法人田村医院　理事長　田村　裕幸,田村　裕幸,内　外　胃　肛門外科　小　循　放　リハ,,平11. 4. 1,ika
診療所,34,0110765,医療法人社団　江島医院,広島市南区宇品御幸２丁目５－７,082-251-2525,医療法人社団　江島医院　理事長　江島　久美子,山木戸　英人,内　小　放　呼内　アレ,,平元. 5. 1,ika
診療所,34,0110781,医療法人社団　竹本医院,広島市南区宇品海岸２丁目２－１１,082-251-0932,医療法人社団　竹本医院　理事長　竹本　祐司,竹本　祐司,内　小　呼内,,平元. 8. 1,ika
