med_type,pref_code,med_code,name,address,phone,opener,manager,depts,beds,designated_date,source
病院,02,0110243,医療法人同仁会　浪打病院,青森市合浦二丁目１１－２４,017-741-4341,医療法人　同仁会　理事長　菊田　一貫,菊田　一貫,一般　療養　内　外　皮　呼内　整外　リハ,,昭44. 8. 1,ika
病院,02,0112165,青森市民病院,青森市勝田一丁目１４－２０,017-734-2171,青森市長　西　秀記,豊木　嘉一,一般　外　精神神経科　小　糖尿病・内分泌内科　循環器内科　消化器内科　整外　脳外　心外　皮　ひ　産婦　眼　耳い　リハ　放　麻　歯外　形外　病理,352,昭38. 12. 16,ika
診療所,02,0113528,福士内科胃腸科医院,青森市緑一丁目１９－５,017-777-8363,福士　経雄,福士　経雄,内　呼　胃　循,,昭46. 10. 1,ika
病院,02,0113965,青森県立つくしが丘病院,青森市大字三内字沢部３５３－９２,017-787-2121,青森県知事　宮下　宗一郎,敦賀　光嗣,精神　精　神　歯,230,昭51. 6. 1,ika
病院,02,0114153,公益財団法人鷹揚郷　腎研究所　青森病院,青森市大字石江字岡部１０１－１,017-781-9331,公益財団法人　鷹揚郷　理事長　鈴木　唯司,吉川　和暁,一般　ひ　リハ　腎臓内科　内科,,昭52. 10. 1,ika
病院,02,0114450,社団法人慈恵会　青森慈恵会病院,青森市大字安田字近野１４６－１,017-782-1201,一般社団法人　慈恵会　理事長　丹野　智宙,丹野　雅彦,一般　精神　療養　内　外　整外　ひ　循　呼　消　リハ　麻　皮　精　リウ　アレ　和漢　脳内,154,昭54. 4. 15,ika
病院,02,0114625,青森保健生活協同組合生協さくら病院,青森市問屋町一丁目１５－１０,017-738-2101,青森保健生活協同組合　理事長　相馬　裕,百成　公美,精神　精　神　内　心内　リハ,140,昭55. 6. 1,ika
病院,02,0114765,青森県立中央病院,青森市東造道二丁目１－１,017-726-8111,青森県知事　宮下　宗一郎,廣田　和美,一般　内科　消化器内科　血液内科　糖尿病・内分泌内科　緩和ケア内科　循環器内科　腎臓内科　リウ　精　脳内　小　外科　消化器外科　耳鼻いんこう科・頭頸部外科　整外　脳外　心外　皮　ひ　産婦　眼　リハ　放射線科　腫瘍放射線科　歯　歯外　麻　病理　臨床　形外　呼内　呼外　救命,584,昭56. 9. 25,ika
病院,02,0114989,一般財団法人双仁会青森厚生病院,青森市大字新城字山田４８８－１,017-788-3121,一般財団法人　双仁会　理事長　田渕　博子,森田　隆幸,一般　療養　内科　循環器内科　消化器内科　呼内　外科　肛門外科　消化器外科　放　麻　リハ,117,昭58. 4. 1,ika
病院,02,0115135,村上新町病院,青森市新町二丁目１－１３,017-723-1111,医療法人　三良会　理事長　村上　秀一,村上　秀一,一般　療養　内科　循環器内科　腎臓内科　消化器内科　呼内　神内　皮　耳い　放　リハ　外科　血管外科　肛門外科　心外　整外　ひ,,昭60. 2. 1,ika
診療所,02,0115242,下山泌尿器科医院,青森市造道三丁目２－２８,017-743-5210,下山　茂,下山　茂,ひ　内　皮,,昭62. 2. 1,ika
診療所,02,0115374,田辺和彦胃腸科内科医院,青森市勝田一丁目１５－１０,0177-35-1188,田辺　和彦,田辺　和彦,内　呼　胃　循　小,,昭63. 12. 15,ika
診療所,02,0115523,工藤こども医院,青森市長島二丁目８－６,0177-76-8413,工藤　協志,工藤　協志,小,,平2. 9. 1,ika
診療所,02,0115531,佐藤内科クリニック,青森市はまなす一丁目１７番２１号,017-726-7800,佐藤　洋湖,佐藤　洋湖,内　呼　消　循　小　皮,,平2. 10. 15,ika
診療所,02,0115556,高内科小児科医院,青森市蛍沢三丁目１２番１５号,0177-41-8181,高　明休,高　明休,内　呼　消　循　小,,平2. 11. 1,ika
診療所,02,0115721,永井耳鼻咽喉科クリニック,青森市小柳六丁目１９－１５,0177-41-8733,永井　政男,永井　政男,耳い,,平3. 4. 1,ika
診療所,02,0115788,福井ひ尿器科クリニック,青森市篠田一丁目１０－１９,0177-66-7100,福井　耕三,福井　耕三,ひ　内　皮,,平3. 8. 1,ika
診療所,02,0115879,成田祥耕クリニック,青森市中佃一丁目１－３０,017-743-6511,成田　祥耕,成田　祥耕,内　脳内　消化器・肝臓内科,,平3. 11. 15,ika
診療所,02,0115978,三戸内科胃腸科,青森市浪館前田四丁目１０－１,017-781-6011,医療法人　三戸内科胃腸科　理事長　三戸　一朗,三戸　一朗,内科　循環器内科　胃　小　呼内,,平4. 7. 1,ika
診療所,02,0116018,やまがみ眼科,青森市長島二丁目１－１４青森クリニックビル３階,0177-75-9220,山上　美情子,山上　美情子,眼,,平4. 10. 1,ika
診療所,02,0116026,医療法人　清和会　三川内科医院,青森市八重田二丁目１－６,017-736-8191,医療法人　清和会　理事長　渡邉　智子,渡邉　智子,内科　消化器内科　漢方内科,,平4. 10. 1,ika
診療所,02,0116034,木村文祥内科クリニック,青森市大字三内字沢部４３９－５,017-782-6812,木村　文祥,木村　文祥,内　神内　胃　循　小,,平4. 10. 15,ika
診療所,02,0116042,おだぎりメンタルクリニック,青森市堤町二丁目１５－１３,0177-77-1521,小田桐　正孝,小田桐　正孝,精　心内　内,,平4. 12. 15,ika
診療所,02,0116117,三上眼科医院,青森市新町二丁目６－２７,017-722-6501,三上　恵一,三上　恵一,眼,,平5. 2. 28,ika
診療所,02,0116133,千代谷皮膚科,青森市小柳六丁目４－２２,0177-42-7700,千代谷　成史,千代谷　成史,皮,,平5. 4. 1,ika
診療所,02,0116141,森山内科クリニック,青森市大字筒井字八ツ橋１３８２－１２,0177-28-1550,森山　裕三,森山　裕三,内　呼　胃　消　循　小,,平5. 4. 1,ika
診療所,02,0116158,近藤内科胃腸科,青森市筒井三丁目１４－３２,0177-28-2022,近藤　博満,近藤　博満,内　呼　胃　循　小　放,,平5. 4. 1,ika
診療所,02,0116208,八重田医院,青森市はまなす二丁目６番１１号,0177-26-1188,医療法人　鶴見会　理事長　円山　宏洋,円山　宏洋,耳い　気食　呼,,平5. 9. 1,ika
診療所,02,0116224,ささき耳鼻咽喉科クリニック,青森市大字浪館字泉川２２－７,0177-39-6687,佐々木　均,佐々木　均,耳　気食,,平5. 11. 15,ika
診療所,02,0116257,南内科循環器科医院,青森市岡造道一丁目１７－８,017-741-1616,南　收,南　收,一般　循　内　心内　精　呼　アレ　小,,平5. 12. 1,ika
診療所,02,0116273,青森眼科クリニック,青森市東造道一丁目４－３,017-736-8111,医療法人　青森眼科　理事長　竹内　侯雄,竹内　侯雄,一般　眼,,平6. 2. 1,ika
病院,02,0116307,あおもり協立病院,青森市東大野二丁目１番地１０,017-762-5500,青森保健生活協同組合　理事長　相馬　裕,相馬　裕,一般　一般　療養　療養　内科　緩和医療内科　消化器内科　循環器内科　呼内　神内　精　放　リハ　リウ　救急科,223,平6. 5. 1,ika
診療所,02,0116315,中部クリニック,青森市中央三丁目１０－２,017-777-6206,青森保健生活協同組合　理事長　相馬　裕,澤岡　孝幸,内　胃　循　放,,平6. 5. 2,ika
診療所,02,0116323,ふくし耳鼻科,青森市松原三丁目１２－１５,0177-34-1187,福士　栄治,福士　栄治,耳い,,平6. 7. 1,ika
診療所,02,0116364,青森県立精神保健福祉センター,青森市大字三内字沢部３５３－９２,017-787-3951,青森県知事　宮下　宗一郎,小山　智教,精　神　内,,平6. 11. 1,ika
診療所,02,0116398,岸谷整形外科クリニック,青森市金沢一丁目５－７,017-723-6881,医療法人　岸谷整形外科クリニック　理事長　岸谷　雄三,岸谷　正樹,整外　リハ,,平7. 6. 1,ika
診療所,02,0116406,剛整形外科クリニック,青森市花園二丁目２２－３,017-741-6100,新渡戸　剛,新渡戸　剛,整外　リハ　放,,平7. 7. 1,ika
診療所,02,0116414,福士泌尿器科医院,青森市金沢三丁目３１－１０,017-739-3633,福士　実,福士　実,ひ　内　皮,,平7. 10. 1,ika
診療所,02,0116430,ひがし整形外科リハビリテーションクリニック,青森市浜館三丁目３－２７,017-741-4154,油川　研一,油川　研一,整外　リハ　放,,平7. 10. 1,ika
診療所,02,0116497,じん耳鼻咽喉科医院,青森市里見二丁目９－１,0177-82-8733,神　均,神　均,耳い,,平8. 4. 15,ika
診療所,02,0116505,髙屋医院,青森市長島三丁目５－８,0177-76-2881,髙屋　善章,髙屋　善章,内　胃　小,,平8. 3. 30,ika
診療所,02,0116513,武山循環器科内科,青森市勝田二丁目９－１３,017-734-0111,医療法人　絋泰会　理事長　武山　稔,武山　稔,内　呼　胃　循,,平8. 5. 1,ika
診療所,02,0116539,えびな脳神経クリニック,青森市緑二丁目１－３,0177-35-3000,蛯名　国彦,蛯名　国彦,脳外　神内　リハ　放,,平8. 7. 1,ika
診療所,02,0116554,村林内科クリニック,青森市沖館四丁目８－１７,017-782-0505,医療法人　燦秀会　理事長　村林　秀哉,村林　秀哉,一般　内　小,,平8. 9. 1,ika
診療所,02,0116562,虹ヶ丘内科クリニック,青森市虹ヶ丘一丁目３－１３,017-765-1177,工藤　育男,工藤　育男,内科　循環器内科　消化器内科　血液内科,,平8. 11. 1,ika
診療所,02,0116588,西部整形外科医院,青森市里見二丁目１２－４１,017-766-8860,半田　哲人,半田　哲人,一般　整外　リハ　リウ,,平8. 12. 15,ika
診療所,02,0116612,医療法人　誠心会　田中産婦人科クリニック,青森市花園一丁目７－１３,017-744-4103,医療法人　誠心会　理事長　田中　誠也,田中　誠也,産婦　内,,平9. 2. 1,ika
診療所,02,0116620,こたに　こどもクリニック,青森市浜館三丁目４－７,0177-65-1188,小谷　健児,小谷　健児,小,,平9. 4. 1,ika
診療所,02,0116661,あきやま胃腸科内科クリニック,青森市松森二丁目１０－２１,017-743-1199,秋山　昌弘,秋山　昌弘,内　呼　胃　循　小,,平9. 4. 15,ika
診療所,02,0116679,医療法人　いしだ医院,青森市花園二丁目４３－２６,017-744-3300,医療法人　いしだ医院　理事長　石田　均,石田　均,内　呼　消　循　小　皮,,平9. 7. 1,ika
診療所,02,0116703,嶋中内科循環器科,青森市青柳二丁目９－３８,017-775-2111,医療法人　明友会　理事長　嶋中　義人,嶋中　義人,内　呼　循　小,,平9. 9. 1,ika
診療所,02,0116711,まつもと内科・外科クリニック,青森市沖館五丁目５－２６,017-783-3030,松本　香,松本　香,内　外　消　こう　呼　循,,平9. 9. 15,ika
診療所,02,0116729,ひでかず胃腸科内科,青森市大字大野字前田７５－８９,017-762-1600,鈴木　秀和,鈴木　秀和,内　胃　呼　循　小,,平9. 10. 1,ika
診療所,02,0116737,駒井胃腸科内科,青森市浜館四丁目１４－４,017-765-1500,駒井　一雄,駒井　一雄,内　胃　小　循　呼　放,,平9. 10. 1,ika
