med_type,pref_code,med_code,name,address,phone,opener,manager,depts,beds,designated_date,source
病院,39,0110265,医療法人　三和会　国吉病院,高知市上町１丁目３－４,088-875-0231,医療法人　三和会　理事長　国　宣俊,国　宣俊,一般　療養　消化器内科　循環器内科　内科（ペインクリニック）　消化器外科　呼内　神内　心内　外　心外　整外　脳外　リウ　眼　リハ　麻　緩和ケア内科　肛門外科　放　精　ひ　内,,昭34. 12. 1,shikoku/000491917.zip
病院,39,0110380,医療法人　岡村会　岡村病院,高知市入明町１番５号,088-822-5155,医療法人　岡村会　理事長　岡村　高雄,岡村　高雄,一般　内　外　整外　心外　肛門外科　消化器内科　循環器内科　麻　リハ　放　形外　血管外科　胃腸内科　呼吸器外科,138,昭39. 8. 1,shikoku/000491917.zip
診療所,39,0110406,社会医療法人　近森会　近森病院,,088-822-5231,,,,,,shikoku/000490542.zip
病院,39,0110414,医療法人　尚志会　愛幸病院,高知市入明町１４番２号,088-822-2739,医療法人　尚志会　理事長　西原　東香,篠原　英明,精神　精　心内　内,226,昭32. 10. 15,shikoku/000491917.zip
診療所,39,0110448,医療法人　高島会　高島整形外科内科,高知市愛宕町１丁目２－２０,088-872-0910,医療法人　高島会　理事長　高島　正樹,高島　正樹,整外　内　リハ　リウ,,平4. 10. 27,shikoku/000491917.zip
病院,39,0110547,医療法人　須藤会　土佐病院,高知市新本町２丁目１０－２４,088-822-3357,医療法人　須藤会　理事長　須藤　康彦,須藤　康彦,精神　精,174,昭32. 10. 15,shikoku/000491917.zip
病院,39,0110562,医療法人　野並会　高知病院,高知市相生町１番３５号,088-883-3211,医療法人　野並会　理事長　野並　誠二,野並　誠二,一般　療養　内　整外　呼内　放　リハ　循環器内科　消化器内科　ペインクリニック内科,,昭32. 11. 1,shikoku/000491917.zip
病院,39,0110810,医療法人　さくらの里　だいいちリハビリテーション病院,高知市九反田２番１４号,088-882-0811,医療法人　さくらの里　理事長　高橋　昌也,髙橋　昌也,一般　療養　内　リウ　整外　消化器内科　循環器内科　呼吸器内科　放　麻　リハ　精　皮,120,昭55. 7. 1,shikoku/000491917.zip
病院,39,0110844,医療法人　旦龍会　町田病院,高知市旭町１丁目１０４番地,088-872-0164,医療法人　旦龍会　理事長　町田　照代,卜部　公章,一般　眼,,昭49. 7. 1,shikoku/000491917.zip
病院,39,0111016,医療法人　高田会　高知記念病院,高知市城見町４の１３,088-883-4377,医療法人　高田会　理事長　高田　早苗,髙田　浩史,一般　療養　内　呼内　脳内　外　リウ　整外　リハ　皮　糖尿病内科　血液内科　消化器外科・消化器内科　透析内科　循環器内科　肛門外科　美容皮膚科　血管外科,144,昭38. 12. 17,shikoku/000491917.zip
病院,39,0111065,医療法人　平田会　平田病院,高知市本町５丁目４－２３,088-875-6221,医療法人　平田会　理事長　平田　茂,平田　茂,療養　整外　内　呼内　リウ　リハ　アレ,,昭32. 10. 15,shikoku/000491917.zip
病院,39,0111149,医療法人　南会　南病院,高知市本町３丁目６－２８,088-822-0505,医療法人　南会　理事長　南　順文,南　順文,一般　療養　内　循　消　リハ　放,,昭32. 10. 15,shikoku/000491917.zip
病院,39,0111412,医療法人　高潮会　潮江高橋病院,高知市土居町９－１８,088-833-2700,医療法人　高潮会　理事長　高橋　正子,高橋　正子,一般　療養　内　呼内　外　眼　放　リハ　循環器内科　消化器内科,,昭32. 10. 15,shikoku/000491917.zip
病院,39,0111503,医療法人　精華園　海辺の杜ホスピタル,高知市長浜２５１,088-841-2288,医療法人　精華園　理事長　町田　照代,岡田　和史,精神　精　心内,359,昭32. 10. 15,shikoku/000491917.zip
診療所,39,0111636,地方職員共済組合　高知診療所,高知市丸ノ内１丁目２－２０,088-823-1111,地方職員共済組合高知県支部長　濵田　省司,家保　英隆,内,,昭37. 11. 8,shikoku/000491917.zip
