med_type,pref_code,med_code,name,address,phone,opener,manager,depts,beds,designated_date,source
病院,08,0110056,水戸赤十字病院,水戸市三の丸３－１２－４８,029-221-5177,日本赤十字社　社長　清家　篤,野澤　英雄,一般　一般（感染）　感染　内　呼内　循環器内科　消化器内科　消化器外科　リウ　血液内科　脳内　小　外　乳腺外科　血管外科　整外　形外　脳外　皮　ひ　産婦　眼　耳い　麻　放射線診断科　放射線治療科　リハ　病理　緩和ケア内科,387,昭32. 8. 1,ika
診療所,08,0110197,一般財団法人　茨城県メディカルセンター,水戸市笠原町字上組４８９,029-243-1111,一般財団法人　茨城県メディカルセンター　理事長　植木　浜一,植木　浜一,内　精　小　外　産婦　眼　耳い　放,,昭53. 7. 1,ika
病院,08,0110205,社会福祉法人恩賜財団済生会支部　茨城県済生会　水戸済生会総合病院,水戸市双葉台３－３－１０,029-254-5151,社会福祉法人恩賜財団済生会支部　茨城県済生会　支部長　村田　実,生沢　義輔,一般　内　脳内　呼内　消化器内科　消化器外科　循環器内科　血液内科　乳腺外科　腎臓内科　糖尿病・代謝内科　内分泌内科　緩和ケア内科　ペインクリニック内科　小　外　整外　形外　美外　脳外　呼外　心外　皮　ひ　産婦　眼　耳い　麻　リハ　放　歯　歯外　救急科　病理　リウ,415,昭59. 9. 15,ika
病院,08,0110213,茨城県立こども病院,水戸市双葉台３－３－１,029-254-1151,茨城県知事　大井川　和彦,新井　順一,一般　小内　新内　小神経心療　小内分泌・代謝　循　アレ　小外　新外　ひ　脳外　心外　形外　整外　麻　放　血液腫瘍　感染症　腎臓　救急,115,昭60. 6. 1,ika
病院,08,0110247,住吉クリニック病院,水戸市住吉町１９３－９７,029-247-2251,医療法人住吉クリニック　理事長　西山　敬介,矢萩　浩一,一般　内　循環器内科　腎臓内科　人工透析内科　消化器内科　糖尿病内科　リハ　血液内科,,昭54. 10. 1,ika
診療所,08,0110262,公益財団法人報恩会　石崎病院附属緑町クリニック,水戸市緑町３－５－４４,029-224-8518,公益財団法人報恩会　理事長　田中　芳郎,田中　芳郎,精,,昭61. 3. 31,ika
診療所,08,0110320,医療法人社団向陽会　水戸クリニック,水戸市宮町３－４－４,029-231-0534,医療法人社団向陽会　理事長　向井　葉子,向井　葉子,神内,,平元. 11. 1,ika
病院,08,0110346,医療法人碧水会　汐ケ崎病院,水戸市大串町７１５,029-269-2226,医療法人碧水会　理事長　高沢　彰,高沢　彰,精神　精　心内　内　歯,178,昭42. 11. 1,ika
診療所,08,0110353,やまわきこどもクリニック,水戸市城東２－３－３２,029-228-5152,山脇　英範,山脇　英範,小,,平4. 4. 1,ika
病院,08,0110478,総合病院水戸協同病院,水戸市宮町３－２－７,029-231-2371,茨城県厚生農業協同組合連合会　代表理事理事長　長谷川　博史,秋月　浩光,一般　内　呼内　循環器内科　消化器内科　消化器外科　内分泌代謝・糖尿病内科　腎臓内科　神内　感染症内科　血液内科　外　呼外　乳腺外科　小外　整外　脳外　形外　リウ　皮　ひ　婦　眼　耳鼻咽喉・頭頸部外科　リハ　放　病理　救急科　歯外　麻,324,昭32. 8. 1,ika
病院,08,0110593,医療法人社団青潤会　青柳病院,水戸市柳町２－１０－１１,029-231-2341,医療法人社団青潤会　理事長　青栁　兼之,青栁　兼之,一般　一般　内　循環器内科　胃腸内科　糖尿病内科　脂質代謝内科　老年内科　外　整外　形外　リウ　脳外,57,昭49. 6. 1,ika
診療所,08,0110635,水戸共立診療所,水戸市平須町１８１９－３４,029-241-8050,茨城保健生活協同組合　代表理事　菊地　修司,山川　文男,内　外　小　放　他,,昭50. 4. 1,ika
病院,08,0110759,城南病院,水戸市城南３－１５－１７,029-226-3021,茨城保健生活協同組合　代表理事　菊地　修司,菊地　修司,一般　一般　療養　療養　内　外　神内　整外　精　小　ひ　リハ　呼内　他,99,昭55. 9. 1,ika
診療所,08,0110809,石田外科医院,水戸市東原２－７－３９,029-221-5538,石田　哲郎,石田　哲郎,胃　外　放,,昭57. 11. 1,ika
診療所,08,0110874,上甲医院,水戸市本町３－１－８,029-221-5752,上甲　宏,上甲　宏,内　胃　外　こう　放,,昭60. 4. 1,ika
診療所,08,0110924,塙内科呼吸器科医院,水戸市東野町２６０－６,029-248-1019,塙　充弘,塙　充弘,呼内,,昭63. 5. 1,ika
診療所,08,0110932,山本整形外科,水戸市千波町４７８－３,029-241-2020,医療法人社団光明会　山本整形外科　荒川　重光,荒川　重光,一般　整外　リハ　麻,,昭63. 8. 1,ika
診療所,08,0110940,医療法人社団民衆会　林整形外科医院,水戸市浜田２－１１－１１,029-225-5255,医療法人社団民衆会　理事長　林　健人,林　健人,整外　皮,,平元. 2. 1,ika
診療所,08,0110973,五十嵐小児科医院,水戸市笠原町１６７０－１,029-243-1053,医療法人五十嵐小児科医院　理事長　五十嵐　淳,五十嵐　淳,小,,平元. 5. 1,ika
診療所,08,0111005,宮本小児科医院,水戸市千波町３７５－５,029-241-1762,医療法人恵愛会　理事長　宮本　幹夫,宮本　幹夫,小　アレ　内,,平元. 12. 1,ika
診療所,08,0111070,医療法人　三枝整形外科内科,水戸市平須町１８４０－１,029-244-0011,医療法人　三枝整形外科内科　理事長　原　康治,原　康治,整外　内　ペインクリニック内科　麻　リハ,,平4. 2. 1,ika
診療所,08,0111146,石井外科内科医院,水戸市千波町１３８６－３,029-243-0121,医療法人社団　隆恩会　理事長　石井　隆志,石井　慎子,内　胃　小　外　小外　麻,,平5. 3. 1,ika
病院,08,0111237,医療法人社団協栄会　大久保病院,水戸市石川４－４０４０－３２,029-254-4555,医療法人社団協栄会　理事長　大久保　照義,大久保　秀紀,一般　一般　療養　療養　内　腎臓内科　外　消化器外科　消化器内科　ひ　皮　脳外　整外　眼　麻　リハ　歯,194,昭60. 3. 14,ika
診療所,08,0111245,小貫医院,水戸市大塚町１８５７－３,029-254-8400,小貫　喜久子,小貫　喜久子,内　循　リハ　放,,昭62. 12. 1,ika
診療所,08,0111385,会沢内科クリニック,水戸市住吉町４４－３７,029-247-2331,医療法人健伸会　理事長　白石　祐司,白石　祐司,内　消　循,,平6. 2. 1,ika
診療所,08,0111419,林眼科,水戸市赤塚１－１９９７－１０３,029-252-7717,医療法人　林眼科　理事長　林　誠一郎,林　誠一郎,眼,,平6. 3. 1,ika
診療所,08,0111443,高根耳鼻咽喉科医院,水戸市泉町３－７－１,029-221-2215,医療法人高仁会　理事長　髙根　智之,髙根　智之,耳い,,平6. 6. 1,ika
診療所,08,0111625,市毛内科医院,水戸市千波町字久保２８０－１,029-241-1617,市毛　均,市毛　均,内,,昭40. 12. 1,ika
病院,08,0111765,医療法人明保会　江幡産婦人科・内科病院,水戸市備前町４－１１,029-224-3223,医療法人明保会　理事長　清水　徹郎,清水　徹郎,一般　内　産婦　麻　歯　矯歯　小歯,,昭32. 9. 1,ika
病院,08,0112045,医療法人清真会　丹野病院,水戸市酒門町字仲田４８８７,029-226-6555,医療法人清真会　理事長　丹野　大,丹野　英,一般　一般　療養　療養　内　外　小　整外　循環器内科　麻　放　リハ　ひ　皮　血液内科,138,昭54. 10. 1,ika
診療所,08,0112128,公益財団法人　茨城県総合健診協会,水戸市笠原町上組４８９－５,029-241-0011,公益財団法人　茨城県総合健診協会　会長　永田　博司,富沢　巧治,内,,昭59. 10. 1,ika
診療所,08,0112169,医療法人社団　啓和会　東関東クリニック,水戸市白梅３－４－８,029-221-1200,医療法人社団　啓和会　理事長　久保田　光博,久保田　光博,内　婦　消　呼,,平元. 1. 13,ika
診療所,08,0112219,茨城県精神保健福祉センター,水戸市笠原町９９３－２,029-243-2870,茨城県知事　大井川　和彦,佐々木　恵美,精,,平3. 6. 1,ika
診療所,08,0112227,茨城県中央保健所,水戸市笠原町９９３－２,029-241-0100,茨城県知事　大井川　和彦,吉見　富洋,内　精,,平3. 6. 1,ika
診療所,08,0112250,神保内科小児科医院,水戸市堀町９５４－６,029-225-1631,医療法人　神保内科小児科医院　理事長　神保　智,神保　智,内　小,,平4. 4. 1,ika
診療所,08,0112292,飯田内科医院,水戸市本町２－１０－１０,029-231-1357,医療法人水信会　理事長　飯田　信之,飯田　信之,内　呼　消　循　小,,平5. 10. 1,ika
診療所,08,0112318,水戸市休日夜間緊急診療所,水戸市笠原町９９３－１３,029-243-8825,水戸市長　髙橋　靖,小関　廣明,内　小　外　歯,,昭62. 6. 1,ika
診療所,08,0112417,青木医院,水戸市本町３－４－７,029-221-8603,医療法人青木医院　理事長　青木　雅弘,青木　雅弘,一般　産婦　内,,平6. 11. 1,ika
診療所,08,0112458,医療法人社団　正和会　小松崎産婦人科,水戸市本町１－６－２０,029-221-2645,医療法人社団　正和会　理事長　小松﨑　哲,小松崎　哲,一般　産婦,,平7. 4. 1,ika
診療所,08,0112524,小関外科胃腸科医院,水戸市千波町３４７－１,029-241-2662,医療法人小関外科胃腸科医院　理事長　小関　廣明,小関　廣明,外　内　胃腸内科　乳腺外科　内視鏡内科　肛門外科,,平7. 11. 1,ika
診療所,08,0112557,岩間産婦人科,水戸市末広町２－３－３８,029-221-6951,医療法人社団心越会　理事長　岩間　洋一,岩間　洋一,一般　産婦　麻,,平7. 12. 1,ika
診療所,08,0112565,浅川医院,水戸市東原２－８－２５,029-221-7873,医療法人社団徳昌会　理事長　淺川　昌洋,淺川　昌洋,内　脳内　呼内　消化器内科,,平7. 12. 1,ika
診療所,08,0112607,関皮膚科クリニック,水戸市千波町１４４０－５,029-244-1255,関　正計,関　正計,皮,,平8. 4. 1,ika
診療所,08,0112649,新井耳鼻咽喉科医院,水戸市南町３－２－５１,029-221-3664,新井　雅之,新井　雅之,耳い,,平8. 5. 1,ika
診療所,08,0112664,台町クリニック,水戸市元台町１５１２－１,029-246-1515,塚原　薫,塚原　薫,脳外　内　外,,平8. 6. 1,ika
