med_type,pref_code,med_code,name,address,phone,opener,manager,depts,beds,designated_date,source
病院,13,0110049,医療法人財団　小畑会　浜田病院,千代田区神田駿河台二丁目５番地,03-5280-1166,医療法人財団　小畑会　理事長　中川　菜実,中川　菜実,一般　産　婦　小　内　外　放　耳い　眼　皮　形外　美外,,昭32. 11. 1,ika
病院,13,0110098,社会福祉法人　三井記念病院,千代田区神田和泉町１番地,03-3862-9111,社会福祉法人　三井記念病院　理事長　岩沙　弘道,川崎　誠治,一般　内　小　外　整外　耳い　脳外　皮　産婦　精　眼　麻　歯　ひ　歯外　心外　呼内　呼外　脳内　循環器内科　消化器内科　消化器外科　内分泌内科　糖尿病代謝内科　腎臓内科　リウマチ内科　血液内科　腫瘍内科　緩和ケア内科　大腸外科　乳腺・内分泌外科　病理　放射線診断科　放射線治療科　臨床検査科　形外,482,昭32. 8. 1,ika
病院,13,0114611,東京歯科大学水道橋病院,千代田区神田三崎町二丁目９番１８号,03-3262-3421,学校法人　東京歯科大学　理事長　井出　吉信,田口　円裕,一般　内　歯　矯歯　小歯　歯外　眼,,平3. 11. 1,ika
診療所,13,0121376,山下小児科医院,千代田区外神田五丁目６番１６号,03-3831-8817,山下　照子,山下　照子,小,,昭32. 9. 28,ika
診療所,13,0121954,財務省診療所,千代田区霞が関三丁目１番１号,03-3581-3723,財務省共済組合　財務本省支部長　山本　健治,高市　憲明,内　外　精,,昭32. 7. 1,ika
診療所,13,0121996,農林水産省診療所,千代田区霞が関一丁目２番１号,03-3501-6372,農林水産省　農林水産大臣　鈴木　憲和,百瀬　知雄,内　歯,,昭32. 11. 1,ika
診療所,13,0122119,出版健康保険組合診療所,千代田区神田駿河台一丁目７番地,03-3292-5092,出版健康保険組合　理事長　鈴木　一行,小林　裕彦,内　皮　眼　耳い　歯,,昭32. 9. 10,ika
診療所,13,0124040,経済産業省共済組合　本部診療所,千代田区霞が関一丁目３番１号,03-3501-0920,経済産業省共済組合本部　事務執行者　北村　敦司,鈴木　義之,内　心内　耳い　歯　皮,,昭43. 8. 14,ika
診療所,13,0124321,上智学院診療所,千代田区紀尾井町７番１号,03-3238-3394,学校法人　上智学院　理事長　アガスティン　サリ,中川　禎介,内　精　神,,昭45. 3. 1,ika
診療所,13,0125567,公益財団法人　結核予防会　総合健診推進センター,千代田区神田三崎町一丁目３番１２号,03-3292-9211,公益財団法人　結核予防会　理事長　尾身　茂,宮崎　滋,呼内　内　消化器内科　糖尿病内科　循環器内科,,昭50. 6. 1,ika
診療所,13,0125773,参議院職員診療所,千代田区永田町一丁目１１番１６号,03-3581-3111,参議院共済組合　松下　和史,平山　美樹,内　眼　耳い,,昭57. 7. 1,ika
診療所,13,0125799,有楽町電気ビルクリニック,千代田区有楽町一丁目７番１号　有楽町電気ビル１０階,03-3213-0091,一般財団法人　日本がん知識普及協会　代表理事　小澁　陽司,川島　隆二,内　呼内　糖尿病内科　ひ　消化器内科　循環器内科,,昭51. 9. 1,ika
診療所,13,0126201,大森胃腸科,千代田区隼町２番１５号,03-3234-6226,大森　孝文,大森　孝文,内　消　外　皮　産婦,,昭54. 2. 1,ika
診療所,13,0126326,衆議院共済組合診療所,千代田区永田町一丁目６番３号　第二別館６階,03-3581-1849,衆議院共済組合衆議院支部　支部長　奥川　陽一,島田　敏樹,内　皮　眼,,昭54. 8. 9,ika
診療所,13,0126904,奥田医院,千代田区神田多町二丁目９番地,03-3254-0701,奥田　博昭,奥田　博昭,内　小　放　循　胃　外,,昭58. 1. 1,ika
診療所,13,0126938,パレスクリニック,千代田区一ツ橋一丁目１番１号,03-3213-2855,春山　喜一,春山　喜一,耳い　内　皮　眼,,昭58. 5. 1,ika
診療所,13,0127159,瀬木診療所,千代田区岩本町一丁目７番１号,03-3866-7313,瀬木　邦久,瀬木　邦久,内　皮,,昭59. 7. 1,ika
診療所,13,0127175,広川眼科,千代田区鍛冶町二丁目２番９号　第二登栄ビル４階,03-3256-3839,広川　正泰,広川　正泰,眼,,昭59. 8. 1,ika
診療所,13,0127506,田邉耳鼻咽喉科医院,千代田区鍛冶町一丁目７番１号,03-3251-9661,田邉　俊孝,田邉　俊孝,耳い,,昭61. 12. 1,ika
診療所,13,0127704,医療法人社団　鈴森内科クリニック,千代田区神田岩本町１番地　岩本町ビル４階,03-3253-7081,医療法人社団　鈴森内科クリニック　理事長　重本　六男,重本　幸子,内　消,,昭63. 6. 1,ika
診療所,13,0127951,法務省共済組合診療所,千代田区霞が関一丁目１番１号　中央合同庁舎６号館１７階,03-3580-4111,法務省共済組合　本部長　森本　宏,鈴木　直美,内　心内　外　歯,,平2. 7. 11,ika
診療所,13,0128058,医療法人社団　みどり会　神田眼科診療所,千代田区内神田三丁目１３番２号　松尾ビル３階,03-3251-1610,医療法人社団　みどり会　理事長　矢島　寿広,矢島　寿広,眼,,平2. 11. 5,ika
診療所,13,0128108,医療法人社団　聖水会　小笠原クリニック,千代田区神田須田町二丁目６番地　坂下ビル７階・８階・９階,03-3254-1199,医療法人社団　聖水会　理事長　岡戸　丈和,柳　智貴,内,,平3. 1. 23,ika
診療所,13,0128140,河内クリニック,千代田区神田淡路町一丁目９番地１　ニューお茶の水ビル３０１号,03-3252-8225,河内　清,河内　清,神　内　皮　精,,平3. 8. 1,ika
診療所,13,0128207,医療法人社団　西端耳鼻咽喉科,千代田区有楽町二丁目１０番１号　東京交通会館３階,03-3214-9047,医療法人社団　西端耳鼻咽喉科　理事長　西端　愼一,西端　愼一,耳い　気食　アレ,,平3. 10. 1,ika
診療所,13,0128314,医療法人社団　滝医院,千代田区九段南四丁目３番１号,03-3264-3101,医療法人社団　滝医院　瀧　正彦,瀧　正彦,内　胃　小,,平4. 4. 1,ika
診療所,13,0128587,一般財団法人　健康医学協会　附属東都クリニック,千代田区紀尾井町４番１号　ホテルニューオータニガーデンタワー２階,03-3239-0301,一般財団法人　健康医学協会　代表理事　大坪　修,西村　光世,内　外　耳い　眼　婦　放　ひ　皮　精　整外,,平6. 2. 1,ika
診療所,13,0128678,市ヶ谷駅前診療所,千代田区五番町２番地　横山ビル１階,03-3234-5021,泉田　秀輝,泉田　秀輝,内　循　消　皮,,平6. 11. 1,ika
診療所,13,0128785,医療法人社団　正誠会　林医院,千代田区外神田三丁目７番１号,03-3253-7436,医療法人社団　正誠会　理事長　林　久太佳,林　久太佳,消　外　皮　こう　内,,平7. 6. 1,ika
診療所,13,0128850,神保町皮膚科,千代田区神田神保町三丁目２番地　ＹＮビル２階,03-3262-1778,城戸　彦,城戸　彦,皮,,平7. 10. 26,ika
診療所,13,0129007,医療法人社団　緑和会　ストレスケア日比谷クリニック,千代田区有楽町一丁目６番１号　ナビール日比谷６階,03-3581-0205,医療法人社団　緑和会　理事長　酒井　和夫,酒井　和夫,精　内　心内,,平8. 9. 1,ika
診療所,13,0129080,麹町クリニック,千代田区麹町三丁目４番７号　啓ビル５階,03-3238-7654,増森　興治,増森　興治,胃　こう　外　内,,平9. 1. 1,ika
診療所,13,0129098,一口坂クリニック,千代田区九段北四丁目１番５号　市ケ谷法曹ビル地下１階００１号,03-3221-1919,作田　優子,作田　優子,精　皮　内　神内,,平9. 1. 1,ika
診療所,13,0129106,山王グランドビル薬師堂クリニック,千代田区永田町二丁目１４番２号　山王グランドビル２階２１６号,03-3500-5090,石堂　達也,石堂　達也,内　消　アレ,,平9. 1. 1,ika
診療所,13,0129148,医療法人社団　高典会　飯田橋クリニック,千代田区飯田橋四丁目６番９号　ＳＴビル２階,03-3222-6461,医療法人社団　高典会　理事長　髙橋　典大,高橋　典大,皮　内　アレ　形外　美外,,平9. 1. 23,ika
