med_type,pref_code,med_code,name,address,phone,opener,manager,depts,beds,designated_date,source
病院,27,0101813,社会医療法人杏和会,〒599－8263,072-278-0381,社会医療法人杏,黒田健治,,652,昭32.10.1,303_osaka_ika.pdf
診療所,27,0161813,)阪南病院,堺市中区八田南之町２７７,,和会理事長黒田健治,,精　心内　内　小　放　歯　神内,,新規,303_osaka_ika.pdf
病院,27,0101896,公益財団法人浅香,〒590－0018,072-229-4882,公益財団法人,田原旭,,223,昭32.10.1,303_osaka_ika.pdf
病院,27,0161896,)山病院,堺市堺区今池町三丁３番１６号,,浅香山病院理事長髙橋明,,内　外　整外　形　外　婦　眼　歯　耳い　ひ　透析　リハ　皮　放　神　内　精　心内　循　麻　消　呼内,734,新規,303_osaka_ika.pdf
病院,27,0103462,独立行政法人労働者,〒591－8025,072-252-3561,独立行政法人労,平松直樹,地域支援,678,昭37.5.1,303_osaka_ika.pdf
診療所,27,0163462,)健康安全機構大阪,堺市北区長曾根町１１７９番地の３,,働者健康安全機構理事長大西洋英,,内　精　形外　小　外　整外　脳外　心外　皮　ひ　産婦　眼　耳い　リハ　麻　歯外　歯　循　消　放　呼外　病理,,新規,303_osaka_ika.pdf
病院,27,0104742,医療法人以和貴会,〒591－8012,072-252-9000,医療法人以和貴,髙野悟史,,385,昭42.8.8,303_osaka_ika.pdf
診療所,27,0164742,)金岡中央病院,堺市北区中村町４５０番地,,会理事長髙野照起,,精　神　内　歯,,移転,303_osaka_ika.pdf
病院,27,0108313,医療法人錦秀会阪,〒599－8271,072-277-1401,医療法人錦秀会,中村成史,,235,昭55.12.1,303_osaka_ika.pdf
病院,27,0168313,)和第二泉北病院,堺市中区深井北町３１７６,,理事長籔本知里,,内　循環器内科　外　整外　脳外　眼　放射線診断科　リハ　歯外　麻,734,新規,303_osaka_ika.pdf
病院,27,0116795,医療法人恒進會泉,〒590－0106,072-299-2020,医療法人恒進會,石井道治,,269,平3.7.1,303_osaka_ika.pdf
診療所,27,0176795,)北陣内病院,堺市南区豊田４０番地,,理事長陣内均,,内　呼内　循　消　神　心内　外　心外　整外　脳外　精　アレ　リウ　皮　ひ　放　リ　ハ　歯　小歯　歯　外　麻,,組織変更,303_osaka_ika.pdf
病院,27,0121548,医療法人淳康会堺,〒590－0004,0722-27-8001,医療法人淳康会,駒井則夫,,45,平13.7.1,303_osaka_ika.pdf
診療所,27,0181548,)近森病院,堺市堺区北清水町二丁４番１号,,理事長前暢子,,内　外　腎臓内科　循環器内科　循　環器外科　血管外　科　消化器外科　整外　透析　リハ　放　歯　歯外,,組織変更,303_osaka_ika.pdf
病院,27,0121647,医療法人以和貴会,〒591－8034,072-277-1119,医療法人以和貴,河合信行,,141,平13.11.1,303_osaka_ika.pdf
診療所,27,0181647,)北条病院,堺市北区百舌鳥陵南町一丁７７番地の１,,会理事長髙野照起,,内　消化器内科　整外　リウ　リハ　放　呼内　歯,,移転,303_osaka_ika.pdf
病院,27,0123361,医療法人好寿会美,〒587－0061,0723-61-0545,医療法人好寿会,本西正道,,450,昭38.3.1,303_osaka_ika.pdf
診療所,27,0183361,)原病院,堺市美原区今井３８０番地,,理事長片岡尚,,精　心内　内　歯,,新規,303_osaka_ika.pdf
病院,27,0202439,医療法人燦惠会首,〒553－0005,06-6461-1537,医療法人燦惠会,首藤三七郎,,86,平8.1.1,303_osaka_ika.pdf
診療所,27,0262439,)藤病院,大阪市福島区野田五丁目１８番１６号,,理事長首藤豊武,,内　外　整外　リ　ハ　放　歯,,組織変更,303_osaka_ika.pdf
診療所,27,0302056,エクセディクリニッ,〒572－0822,072-824-7488,株式会社エクセ,竹村芳,内　心内　歯,,昭39.3.1,303_osaka_ika.pdf
診療所,27,0362056,)ク,寝屋川市木田元宮一丁目１－１,,ディ代表取締役社長吉永徹也,,,,新規,303_osaka_ika.pdf
病院,27,0302395,医療法人協仁会小,〒572－8567,072-823-1521,医療法人協仁会,一番ケ瀬明,,180,昭52.8.1,303_osaka_ika.pdf
診療所,27,0362395,)松病院,寝屋川市川勝町１１番６号,,理事長井谷敬治,,内　呼内　消　外　放　循　小　眼　整外　皮　ひ　耳い　リハ　リウ　歯　歯外　麻　アレ　神内　精,,移転,303_osaka_ika.pdf
病院,27,0303609,医療法人長尾会ね,〒572－0854,072-822-3561,医療法人長尾,長尾喜一郎,,241,平3.4.1,303_osaka_ika.pdf
診療所,27,0363609,)や川サナトリウム,寝屋川市寝屋川公園２３７０番地６,,会理事長長尾喜一郎,,精　心内　脳内　内　循　放　リハ　歯,,移転,303_osaka_ika.pdf
診療所,27,0305653,関西医科大学香里病,〒572－8551,072-832-5321,学校法人関西医,岡崎和一,,,平22.7.1,303_osaka_ika.pdf
病院,27,0365653,)院,寝屋川市香里本通町８番４５号,,科大学理事長山下敏夫,,内　脳内　整外　外　小　耳い　婦　ひ　眼　乳腺外　科　形外　リハ　皮　麻　放　精　病理　歯　歯外,199,新規,303_osaka_ika.pdf
診療所,27,0305885,社会医療法人弘道,〒572－0028,072-834-9000,社会医療法人,畑山忠,,,平25.8.1,303_osaka_ika.pdf
