med_type,pref_code,med_code,name,address,phone,opener,manager,depts,beds,designated_date,source
病院,16,0110023,富山県立中央病院,富山市西長江２丁目２番７８号,076-424-1531,富山県知事　新田　八朗,加治　正英,一般　結核　精神　一般（感染）　内　精　脳内　小　外科　乳腺外科　整外　形外　脳外　呼外　心外　皮　ひ　産婦　眼　耳鼻咽喉科　リハ　放射線診断科　放射線治療科　麻　歯外　小外　病理　救命　循環器内科　呼内　消化器内科　腎臓内科　血液内科　内分泌・代謝内科　感染症内科　腫瘍内科　緩和ケア内科　漢方・リウマチ科　新生児内科,607,昭32. 7. 31,ika
診療所,16,0110114,富山地方鉄道診療所,富山市桜町１丁目１－３６,076-444-0399,富山地方鉄道株式会社　代表取締役社長　中田　邦彦,笹谷　守,内,,昭41. 11. 25,ika
病院,16,0112607,富山医療生活協同組合富山協立病院,富山市豊田町１丁目１－８,076-433-1077,富山医療生活協同組合　理事長　火爪　健一,岩城　光造,一般　療養　内　整外　循　消　呼　皮　耳い　ひ　こう　リハ,106,昭50. 4. 1,ika
診療所,16,0113126,岩城内科医院,富山市茶屋町８５－２,,岩城　勝英,岩城　勝英,内　消　循　小,,昭54. 1. 8,ika
診療所,16,0113241,和合整形外科医院,富山市布目１９８１－１,,竹林　俊一郎,竹林　俊一郎,整外　リハ　リウ　歯,,昭54. 10. 1,ika
診療所,16,0113357,かね医院,富山市中川原新町６５,076-421-5131,金　清,金　清,内,,昭55. 10. 23,ika
病院,16,0113365,横田記念病院,富山市中野新町１丁目１番１１号,076-425-2800,医療法人財団博仁会　理事長　横田龍大,菅原　秀徳,一般　療養　内　呼　消　循　皮　放　他,,昭56. 1. 1,ika
診療所,16,0113464,つねだ内科医院,富山市西中野本町８－１,076-491-1121,常田　孝和,常田　孝和,内　呼　消　循,,昭56. 8. 22,ika
診療所,16,0113613,富山中央診療所,富山市掛尾５００,076-495-2164,平野　正治,平野　正治,内　神内　精,,昭58. 5. 9,ika
病院,16,0113647,富山市立　富山市民病院,富山市今泉北部町２番地１,076-422-1112,富山市　富山市病院事業管理者　石田　陽一,林　茂,一般　一般　一般　一般　一般（感染）　一般　一般　一般　精神　精神　一般　一般　その他　内　精　脳内　呼内　消化器内科　消化器外科　循環器内科　透析　小　外　整外　形外　脳外　呼吸器・血管外科　皮　ひ　産婦　眼　耳い　リハ　放射線治療科　放射線診断科　歯外　麻　病理　救命　内分泌代謝内科　血液内科　腎臓内科　内視鏡内科　腫瘍内科　感染症内科　乳腺外科　ペインクリニック内科　緩和ケア内科,476,昭58. 10. 1,ika
診療所,16,0113688,福田医院,富山市室町通り１－１－２６,076-425-4978,福田　孜,福田　孜,精　神内　内,,昭58. 9. 23,ika
病院,16,0113811,富山県リハビリテーション病院・こども支援センター,富山市下飯野３６番地,076-438-2233,富山県知事　新田　八朗,畑崎　喜芳,一般　内　精　脳内　小　整外　皮　ひ　眼　耳い　リハ　歯　脳外,232,昭59. 10. 1,ika
診療所,16,0113837,高田医院,富山市水橋舘町４１３,076-478-1234,高田　良子,高田　良子,内,,昭59. 10. 1,ika
診療所,16,0113944,山田祐司眼科医院,富山市堀川小泉町１－１－５,,山田　祐司,山田　祐司,一般　眼,,昭61. 1. 4,ika
診療所,16,0113969,本江整形外科医院,富山市奥田新町１７－１,076-432-3711,本江　卓,本江　卓,一般　内　外　整外　形外　リハ,,昭61. 4. 8,ika
病院,16,0114033,誠友病院,富山市上千俵町１０３番地,076-429-6677,医療法人社団翠十字会　理事長　安ヵ川　誠,浅香　充宏,療養　内　リハ,,昭62. 2. 1,ika
診療所,16,0114165,医療法人社団清省会　元町内科医院,富山市元町１－２－１７,076-422-3755,医療法人社団清省会　理事長　林　健志,林　健志,内,,昭62. 12. 1,ika
診療所,16,0114215,里村クリニック,富山市稲荷元町２－１－１２,076-441-0066,里村　敬,里村　敬,内　リハ　麻,,昭63. 5. 12,ika
病院,16,0114314,いま泉病院,富山市今泉２２０,076-425-1166,医療法人社団いずみ会　理事長　大西　仙泰,大西　仙泰,療養　内　リハ　精,109,昭64. 1. 1,ika
診療所,16,0114371,社会福祉法人めひの野園うさか寮診療所,富山市西金屋字高山６６８２番地,076-436-0270,社会福祉法人めひの野園　理事長　中田匡,樋口　悠子,内　精,,平元. 8. 1,ika
病院,16,0114447,不二越病院,富山市東石金町１１番６５号,076-424-2881,株式会社不二越　代表取締役　社長執行役員　中村　成利,平井　忠和,一般　内　外　整外　皮　眼　耳い　リハ　放　循　こう　心内　精,,平元. 12. 11,ika
診療所,16,0114488,田中眼科医院,富山市上堀町７１－１,076-493-4111,田中　良則,田中　良則,眼,,平2. 3. 18,ika
診療所,16,0114512,桝谷整形外科医院,富山市丸の内３丁目３－２２,076-425-0888,医療法人社団恵成会　理事長　升谷　敏孝,升谷　厚志,整外　リハ,,平2. 6. 11,ika
診療所,16,0114520,石田眼科医院,富山市上赤江町２丁目１０－１６,076-433-0007,石田　俊郎,石田　俊郎,眼,,平2. 7. 5,ika
診療所,16,0114595,西邨内科医院,富山市西町９－４,076-421-3948,西邨　啓吾,西邨　啓吾,内　消,,平2. 10. 24,ika
病院,16,0114637,成和病院,富山市針原中町３３６,076-451-7001,医療法人社団正啓会　理事長　小西　啓子,小西　秀男,療養　内　消　整外　リハ　放,,平3. 4. 12,ika
病院,16,0114686,三輪病院,富山市小中２９１,076-428-1234,医療法人社団三医会　理事長　竹鼻　純子,竹鼻　純子,療養　精神　内科　呼吸器内科　精神科　耳鼻咽喉科　リハビリテーション科　皮膚科,,平3. 12. 1,ika
診療所,16,0114769,舟山医院,富山市中川原４１－２,076-492-3838,舟山　仁行,舟山　仁行,内　消,,平4. 4. 2,ika
診療所,16,0114793,川崎内科医院,富山市月岡東緑町３－１,076-429-0999,医療法人社団川崎内科医院　理事長　川崎健介,川崎　健介,内　循　小,,平4. 6. 1,ika
診療所,16,0114926,高野耳鼻咽喉科医院,富山市石金３－１－３９,076-492-8733,高野　正美,高野　正美,耳い　アレ,,平4. 11. 11,ika
診療所,16,0115014,富山医療生活協同組合　水橋診療所,富山市水橋舘町５９番１号,076-479-1414,富山医療生活協同組合　理事長　火爪　健一,大堀　成,内,,平5. 4. 1,ika
診療所,16,0115022,こばやし耳鼻咽喉科クリニック,富山市五福５２４２－６,076-441-0116,小林　英人,小林　英人,耳い　気食　アレ,,平5. 4. 1,ika
診療所,16,0115105,城石内科クリニック,富山市桜町２－１－１０,076-441-2015,城石　平一,城石　平一,内　呼　消　循　小　心内　アレ　リウ,,平5. 9. 16,ika
診療所,16,0115162,うえむらこども医院,富山市城川原１丁目１４番３号,076-471-8830,医療法人社団うえむらこども医院　理事長　濵道美紀,濵道　美紀,小,,平5. 11. 1,ika
病院,16,0115311,藤の木病院,富山市開２６１,076-424-0101,舟坂　雅春,舟坂　雅春,精神　精　神　内,,平6. 12. 22,ika
診療所,16,0115329,内田医院,富山市長江本町９－３０,076-425-4761,内田　重行,内田　重行,内　胃,,平7. 2. 1,ika
診療所,16,0115345,のがわ皮ふ科クリニック,富山市今泉１４８－１,076-421-6700,能川　昭夫,能川　昭夫,皮,,平7. 2. 1,ika
診療所,16,0115451,種井内科胃腸科クリニック,富山市清水町５丁目７ー１６,076-424-4114,種井　政信,種井　政信,内　呼　胃　循　小　消,,平7. 11. 1,ika
診療所,16,0115477,島崎クリニック,富山市小西１１６ー３,076-452-1551,島崎　邦彦,島崎　邦彦,内　外　胃　こう,,平7. 12. 6,ika
診療所,16,0115485,佐伯クリニック,富山市栃谷２００ー２,076-436-2311,医療法人社団佐伯クリニック　理事長　佐伯　好信,佐伯　好信,外　内　消　小　リハ　アレ　こう　心内,,平8. 1. 1,ika
診療所,16,0115527,石田ひとみ眼科医院,富山市高屋敷８３３ー１　タカサンビル１Ｆ,076-492-0240,石田　ひとみ,石田　ひとみ,眼,,平8. 3. 18,ika
