med_type,pref_code,med_code,name,address,phone,opener,manager,depts,beds,designated_date,source
診療所,47,0111107,一般社団法人　那覇市医師会　生活習慣病検診センター,那覇市東町２６－１,098-868-8118,一般社団法人　那覇市医師会　代表理事　友利　博朗,崎原　永辰,内　他,,昭47. 5. 15,kyushu/r8_07_okinawa.zip
診療所,47,0111636,日賀耳鼻咽喉科,那覇市前島１－１５－１,,日賀　久雄,日賀　久雄,耳い　気食,,昭47. 12. 19,kyushu/r8_07_okinawa.zip
診療所,47,0111644,吉本内科小児科医院,那覇市松川１－１５－６,,吉本　弘,吉本　弘,一般　内　小,,昭48. 1. 10,kyushu/r8_07_okinawa.zip
病院,47,0112014,社会医療法人　葦の会　オリブ山病院,那覇市首里石嶺町４－３５６,,社会医療法人　葦の会　理事長　田頭　真一,玉城　尚,精神　一般　内科　内科（呼吸器）　精神科　心療内科　リハビリテーション科　脳神経内科,340,昭52. 1. 1,kyushu/r8_07_okinawa.zip
病院,47,0112634,医療法人　はごろも会　那覇ゆい病院,那覇市古島１－２２－１,,医療法人　はごろも会　理事長　玉城　仁,玉城　仁,療養　内科　呼吸器内科　循環器内科　外科　整形外科　リハビリテーション科　小児科　皮膚科,,昭57. 9. 1,kyushu/r8_07_okinawa.zip
診療所,47,0112659,開南皮フ科,那覇市松尾２丁目２４－１４（高良ビル２階）,,国吉　光雄,国吉　光雄,皮,,昭57. 10. 1,kyushu/r8_07_okinawa.zip
病院,47,0113251,琉生病院,那覇市大道５６番地,,一般財団法人　琉球生命済生会　理事長　高良　毅,金城　渚,療養　内科　呼吸器内科　循環器内科　消化器内科　リハビリテーション科　整形外科,,昭62. 5. 1,kyushu/r8_07_okinawa.zip
診療所,47,0113269,前浜小児科医院,那覇市松川２－５－３０,,前濱　宏之,前濱　宏之,小　皮,,昭62. 7. 1,kyushu/r8_07_okinawa.zip
診療所,47,0113434,新垣クリニック,那覇市泊１－１３－１,,新垣　敏幸,新垣　敏幸,内科　呼吸器科　消化器科　循環器科　外科　麻酔科,,昭64. 1. 1,kyushu/r8_07_okinawa.zip
診療所,47,0113467,耳鼻咽喉科小禄クリニック,那覇市宇栄原１－６－３３,,仲吉　博彦,仲吉　博彦,耳鼻咽喉科,,平元. 3. 1,kyushu/r8_07_okinawa.zip
診療所,47,0113632,医療法人　新田クリニック,那覇市前島１－１４－３,,医療法人　新田クリニック　理事長　新田　迅,新田　迅,一般　産婦,,平元. 12. 1,kyushu/r8_07_okinawa.zip
診療所,47,0113673,新川クリニック,那覇市壺屋１－２－１６,,医療法人　善孜会　理事長　宮城　佳江,宮城　政剛,内　呼内　外　整外　リハ　皮　他　神内,,平2. 1. 1,kyushu/r8_07_okinawa.zip
診療所,47,0113749,順天堂クリニック,那覇市泊１－１３－１,,医療法人　温知会　理事長　新垣　敏雄,新垣　敏雄,整外　内　皮　リハ　アレ,,平2. 5. 1,kyushu/r8_07_okinawa.zip
病院,47,0113780,天久台病院,那覇市天久１１２３,,医療法人　天仁会　理事長　平良　直人,平良　直人,精神　精神科　老年精神科　児童精神科　心療内科　脳神経内科,333,平2. 7. 1,kyushu/r8_07_okinawa.zip
診療所,47,0113871,伊集内科医院,那覇市久米２－１０－１５,,医療法人　伊集内科医院　理事長　伊集　守政,伊集　守政,内　他,,平2. 12. 1,kyushu/r8_07_okinawa.zip
診療所,47,0113947,西町クリニック,那覇市西３－４－１,,真栄田　篤彦,真栄田　篤彦,内　小　皮,,平3. 3. 1,kyushu/r8_07_okinawa.zip
病院,47,0114044,医療法人　禄寿会　小禄病院,那覇市小禄５４７－１,,医療法人　禄寿会　理事長　髙江洲　良一,諸見　洋一,一般　内科　腎臓内科　整形外科　眼科　放射線科　リハビリテーション科　呼吸器内科　循環器内科　消化器内科,,平3. 10. 21,kyushu/r8_07_okinawa.zip
診療所,47,0114101,医療法人　明峰会　真玉橋クリニック,那覇市識名１３１６－３,,医療法人明峰会　真玉橋クリニック　理事長　小方　明子,小方　明子,内科　小児科　皮膚科　リハビリテーション科,,平4. 4. 1,kyushu/r8_07_okinawa.zip
診療所,47,0114119,赤嶺耳鼻咽喉科,那覇市高良３－６－８,,赤嶺　克二,赤嶺　克二,耳鼻咽喉科　気管食道科　アレルギー科,,平4. 4. 1,kyushu/r8_07_okinawa.zip
診療所,47,0114143,三原内科クリニック,那覇市三原２－３０－５,098-836-3111,喜久村　徳清,喜久村　徳清,内　神　呼　消胃　循　小　外　整外　皮　眼　リハ　麻,,平4. 6. 1,kyushu/r8_07_okinawa.zip
診療所,47,0114499,平良クリニック,那覇市松尾２－１６－４３,098-863-7110,平良　朝秀,平良　朝秀,内科　胃腸科　外科　整形外科　リハビリテーション科,,平6. 12. 1,kyushu/r8_07_okinawa.zip
病院,47,0114515,医療法人寿仁会　沖縄セントラル病院,那覇市与儀１－２６－６,098-854-5511,医療法人寿仁会　理事長　大仲　良仁,新垣　勝男,療養　一般　整形外科　脳神経外科　内科　糖尿病内科　リハビリテーション科　循環器内科　歯科,101,平6. 12. 1,kyushu/r8_07_okinawa.zip
診療所,47,0114523,首里協同クリニック,那覇市首里石嶺町１－１４７－３,098-884-4846,沖縄医療生活協同組合　代表理事　上原　昌義,新垣　安男,内科　小児科　外科,,平7. 1. 1,kyushu/r8_07_okinawa.zip
診療所,47,0114572,山城整形外科眼科医院,那覇市樋川１－１８－２２,098-836-1100,山城　千秋,山城　千秋,整形外科　美容外科　眼科　麻酔科　リハビリテーション科,,平7. 4. 1,kyushu/r8_07_okinawa.zip
診療所,47,0114580,菜の花クリニック,那覇市泉崎１－１６－１６比嘉ビル１Ｆ,098-866-8716,名古屋　和壱,名古屋　和壱,心療内科　精神科,,平7. 4. 1,kyushu/r8_07_okinawa.zip
診療所,47,0114648,医療法人　育伸会　垣花小児科内科医院,那覇市金城５－１４－１２,098-859-3085,医療法人　育伸会　理事長　垣花　淳一,垣花　淳一,小　内,,平7. 8. 1,kyushu/r8_07_okinawa.zip
