med_type,pref_code,med_code,name,address,phone,opener,manager,depts,beds,designated_date,source
病院,23,0100058,愛知県精神医療センター,名古屋市千種区徳川山町４－１－７,052-763-1511,愛知県　病院事業庁長　丹羽　康正,高木　宏,精神　精　児精　内　歯,273,昭35. 7. 25,ika
病院,23,0100736,医療法人同心会　杉田病院,名古屋市千種区星が丘元町１６－２０,052-781-0433,医療法人同心会　理事長　杉田　荘太郎,志水　康子,精神　精　神,208,昭42. 4. 1,ika
病院,23,0101536,愛知県がんセンター,名古屋市千種区鹿子殿１－１,052-762-6111,愛知県　愛知県知事　大村　秀章,山本　一仁,一般　呼内　消内　循内　血内　乳内　薬内　内視内　緩内　感内　頭外　呼外　消外　脳外　乳外　整外　形外　腫精　放診　放治　皮　ひ　婦　眼　リハ　病理　臨床　麻　歯,500,平12. 1. 1,ika
病院,23,0102021,ちくさ病院,名古屋市千種区今池南４－１,052-741-5331,医療法人豊隆会　理事長　加藤　豊,有川　卓,一般　内　外　整外　脳外　リハ　消内　循内　神内　腎内　代・分内　消外　老内　皮　アレ　精,,令2. 4. 1,ika
診療所,23,0102070,医療法人秀峰会レディースクリニック山原,名古屋市千種区今池４－１４－３,052-731-8181,医療法人秀峰会　理事長　山原　昇,山原　昇,一般　産婦,,平15. 2. 1,ika
病院,23,0102088,医療法人吉田病院,名古屋市千種区大久手町５－１９,052-741-4187,医療法人吉田病院　理事長　永田　淳二,永田　淳二,一般　療養　外　内　整外　脳外　リハ　麻　消内　消外　循内　ペイン外　呼内,,昭45. 10. 1,ika
診療所,23,0102203,医療法人オリエンタルクリニック,名古屋市千種区今池１－８－５,052-741-5181,医療法人オリエンタルクリニック　理事長　廣瀬　光彦,廣瀬　光彦,内　皮　放,,昭61. 6. 23,ika
病院,23,0102377,医療法人蜂友会　はちや整形外科病院,名古屋市千種区末盛通２－４,052-751-8188,医療法人蜂友会　理事長　蜂谷　裕道,村　孝一,一般　整外　麻　リハ,,昭48. 8. 1,ika
病院,23,0102484,国家公務員共済組合連合会　東海病院,名古屋市千種区千代田橋１－１－１,052-711-6131,国家公務員共済組合連合会　理事長　松元　崇,小松　俊一郎,一般　内　消内　循内　呼内　糖内　外　消外　呼外　血外　整外　リウ　ひ　眼　皮　放　リハ　麻　神内　こう外　乳外,166,昭49. 3. 1,ika
診療所,23,0102591,小林医院,名古屋市千種区猫洞通３－１７,052-781-3603,小林　久人,小林　久人,内　胃　小　皮,,昭52. 6. 1,ika
診療所,23,0102609,国枝内科,名古屋市千種区楠元町２－４９,052-762-2151,国枝　武英,国枝　武英,内,,昭52. 7. 1,ika
診療所,23,0102617,メディカルーサテライト・名古屋,名古屋市千種区田代本通３－３,052-763-2311,医療法人白楊会　理事長　椿原　美治,伊藤　功,内　腎内　透内,,平元. 12. 25,ika
診療所,23,0102641,名古屋市医師会千種区休日急病診療所・東部平日夜間急病センター,名古屋市千種区希望ケ丘２－４－２６,052-733-1191,一般社団法人名古屋市医師会　会長　山根　則夫,井上　夏夫,内　小,,令7. 7. 1,ika
病院,23,0102674,医療法人昌峰会　加藤病院,名古屋市千種区末盛通２－１５,052-751-1596,医療法人昌峰会　理事長　加藤　佳美,加藤　佳美,療養　外　整外　皮　内　アレ　こ外　美皮　リハ,,昭54. 4. 1,ika
診療所,23,0102757,医療法人博報会上野産婦人科,名古屋市千種区上野１－１－１１,052-721-0321,医療法人博報会　理事長　柵木　充明,柵木　善多,一般　内　小　産婦,,平10. 6. 1,ika
病院,23,0102781,医療法人東恵会　星ケ丘マタニティ病院,名古屋市千種区井上町２７,052-782-6211,医療法人東恵会　理事長　近藤　東臣,近藤　裕子,一般　産婦　小　内　心内　精　歯外,,昭55. 11. 1,ika
診療所,23,0102823,松永小児科医院,名古屋市千種区今池５－２４－２０,052-732-3311,松永　智幸,松永　智幸,小,,昭56. 12. 1,ika
診療所,23,0102971,医療法人ジーアイ会水野宏胃腸科内科,名古屋市千種区今池４－１４－３,052-733-0300,医療法人ジーアイ会　理事長　水野　宏,水野　真理,他　内,,昭60. 10. 1,ika
診療所,23,0103003,一社）オリエンタル労働衛生協会メディカルクリニック,名古屋市千種区今池１－８－４,052-732-2200,一般社団法人オリエンタル労働衛生協会　理事長　福田　吉秀,福田　吉秀,内　ひ　放　歯　婦　乳外　消内,,昭61. 11. 1,ika
診療所,23,0103037,本山眼科,名古屋市千種区四谷通１－２　キャトウル本山２階,052-781-5961,玉井　一江,玉井　一江,眼,,昭62. 7. 1,ika
診療所,23,0103128,医療法人かとう医院,名古屋市千種区今池５－２１－１５,052-731-3333,医療法人かとう医院　理事長　加藤　隆一,加藤　隆一,耳い,,平元. 9. 1,ika
診療所,23,0103144,医療法人ミタカ会竹内眼科,名古屋市千種区千種３－２１－１２,052-741-4437,医療法人ミタカ会竹内眼科　理事長　橋本　和,橋本　和,眼,,平元. 11. 1,ika
診療所,23,0103169,高田内科,名古屋市千種区高見１－５－７,052-752-3733,高田　実,高田　実,内　胃　循,,平2. 4. 1,ika
診療所,23,0103235,しのだクリニック,名古屋市千種区田代本通５－１５,052-751-1058,篠田　繁博,篠田　繁博,内　外　整外　皮,,平3. 4. 1,ika
診療所,23,0103250,医療法人江口医院,名古屋市千種区神田町２４ー１,052-711-6993,医療法人江口医院　理事長　江口　秀史,江口　秀史,小　内,,平7. 5. 1,ika
診療所,23,0103268,村元内科クリニック,名古屋市千種区清住町３－５３－１,052-781-0160,村元　章,村元　章,内　消　小,,平4. 11. 1,ika
診療所,23,0103334,医療法人碧樹会山林眼科,名古屋市千種区今池１－５－１０千種ＫＩビル５階,052-731-2197,医療法人碧樹会山林眼科　理事長　山林　茂樹,山林　茂樹,眼,,平29. 7. 13,ika
診療所,23,0103359,医療法人大橋整形外科,名古屋市千種区内山２－７－２８,052-731-5733,医療法人大橋整形外科　理事長　大橋　洋,大橋　洋,整外　リハ　リウ,,平6. 1. 1,ika
診療所,23,0103391,医療法人コスモス会清水眼科,名古屋市千種区星が丘山手１４０５,052-781-9228,医療法人コスモス会清水眼科　理事長　清水　隆一,山村　由布子,内　眼,,平6. 4. 1,ika
診療所,23,0103433,マリ皮フ科クリニック,名古屋市千種区今池３－１６－２４,052-735-0511,鈴木　眞理,鈴木　眞理,皮,,平6. 12. 1,ika
診療所,23,0103508,きくざかクリニック,名古屋市千種区菊坂町１－４　　グリームオブ覚王山２階,052-759-1551,鈴森　謙次,鈴森　謙次,一般　婦　産　内,,平8. 12. 1,ika
診療所,23,0103516,ヨシダファミリーメディカルクリニック,名古屋市千種区天満通１－４１－１,052-723-5511,医療法人水全会　理事長　吉田　均,吉田　均,内　小　糖内　脂内　循内　呼内　アレ　漢内　血内　緩内　精　心内　老精,,平9. 1. 1,ika
診療所,23,0103532,茶屋が坂クリニック,名古屋市千種区茶屋が坂１－１３－２１,052-722-2662,安藤　康雄,安藤　康雄,内　小　胃　リハ,,平9. 4. 1,ika
診療所,23,0103565,大石ファミリークリニック,名古屋市千種区豊年町１６－７,052-722-1133,大石　睦夫,大石　睦夫,内　外　整外　皮　ひ　麻　眼　リハ,,平9. 6. 1,ika
診療所,23,0103573,大石眼科,名古屋市千種区豊年町１６－７,052-722-1460,大石　雅夫,大石　雅夫,眼,,平9. 9. 1,ika
診療所,23,0103599,池下やすらぎクリニック,名古屋市千種区覚王山通８－７０－１サンクレア池下４階,052-763-4556,上松　正幸,上松　正幸,精　心内　児精　内,,平9. 11. 1,ika
診療所,23,0103615,佐藤外科肛門科,名古屋市千種区清住町３－６７,052-781-1650,佐藤　圭介,佐藤　圭介,外　こう　皮ひ　整外　小外　内　リハ,,平9. 10. 26,ika
診療所,23,0103631,加藤医院,名古屋市千種区清明山１－１１－２０,052-723-0511,加藤　良三,加藤　良三,内　他　小　皮,,平9. 12. 1,ika
診療所,23,0103649,高田クリニック,名古屋市千種区大島町１－１９－１,052-751-6236,高田　善介,高田　善介,内　循　呼　消　小,,平9. 12. 4,ika
診療所,23,0103714,芹沢クリニック,名古屋市千種区千代が丘４ー６,052-775-1800,芹澤　清人,芹澤　清人,内　外,,平10. 12. 1,ika
診療所,23,0103748,星ヶ丘眼科,名古屋市千種区井上町８８和光星ヶ丘ビル４階,052-781-5458,脇田　信子,脇田　信子,眼,,平28. 3. 24,ika
診療所,23,0103789,星ケ丘メンタルクリニック,名古屋市千種区星が丘元町３－２杉田ビル,052-783-2233,寺田　恭子,寺田　恭子,精　神,,平11. 5. 1,ika
診療所,23,0103797,小田クリニック,名古屋市千種区茶屋坂通２－４０－１シャトーマスヒコ１階,052-723-1117,小田　俊明,小田　俊明,精　心内　神内,,平11. 5. 1,ika
診療所,23,0103805,彦坂耳鼻咽喉科医院,名古屋市千種区春岡１－７－３,052-751-3925,福岡　由利子,福岡　由利子,耳,,平11. 5. 13,ika
診療所,23,0103847,本山クリニックふじわら内科,名古屋市千種区本山町４－７４,052-762-1121,藤原　道明,藤原　道明,内　消　皮　放　神内,,平12. 4. 1,ika
