med_type,pref_code,med_code,name,address,phone,opener,manager,depts,beds,designated_date,source
診療所,40,0210039,船員保険福岡健康管理センター,福岡県福岡市東区原田三丁目４番１０号,092-611-6311,一般財団法人船員保険会　会長　岡部　修,吉澤　滋,内　婦　放,,平14. 6. 1,kyushu/000491318.zip
診療所,40,0210047,医療法人　土器医院,福岡県福岡市東区八田２丁目２１番３号,092-691-2311,医療法人　土器医院　理事長　土器　裕輔,土器　裕輔,一般　内　アレ　他,,平14. 5. 1,kyushu/000491318.zip
診療所,40,0210054,医療法人　松崎クリニック,福岡県福岡市東区松崎２丁目２２番６号,092-672-1700,医療法人松崎クリニック　理事長　寺井　敏,山口　純,内　脳外　神内　リハ　消,,平14. 5. 1,kyushu/000491318.zip
診療所,40,0210062,みんなの整形外科　リハビリと痛み　千早院,福岡県福岡市東区若宮５丁目３番４５号,092-682-1547,医療法人　暁会　理事長　堀田　翠,三原　礼子,整外　麻　リハ　内,,平14. 5. 1,kyushu/000491318.zip
診療所,40,0210146,緒方徹クリニック,福岡県福岡市博多区博多駅前１丁目２番５号　２階,092-452-8355,緒方　徹,緒方　徹,外　内,,平14. 8. 1,kyushu/000491318.zip
診療所,40,0210153,福岡市博多区保健福祉センター,福岡市博多区博多駅前２丁目８番１号,092-419-1089,福岡市　福岡市長　髙島　宗一郎,犬塚　崇文,内,,令4. 4. 18,kyushu/000491318.zip
診療所,40,0210195,一般財団法人西日本産業衛生会　福岡健診診療所,福岡県福岡市博多区博多駅前２丁目２０－１大博多ビル６Ｆ,092-471-1165,一般財団法人　西日本産業衛生会　代表理事　野田　誠吾,花田　清彦,内　婦,,平14. 12. 1,kyushu/000491318.zip
診療所,40,0210211,そらレディースクリニック,福岡県福岡市東区和白丘２丁目２－４５,092-605-3511,医療法人社団わかば会　理事長　林　広典,林　広典,一般　一般　産　婦　麻,19,平15. 1. 1,kyushu/000491318.zip
診療所,40,0210229,医療法人遊行会　藤川メディケアクリニック,福岡県福岡市博多区東光２丁目２２番２５号,092-432-6166,医療法人遊行会　理事長　藤川　尚宏,藤川　尚宏,精　心内,,平15. 1. 1,kyushu/000491318.zip
診療所,40,0210245,医療法人福香会おくだクリニック,福岡県福岡市東区千早２丁目４番１８号,092-661-9555,医療法人福香会　理事長　奥田　隆司,奥田　隆司,整外　リウ　リハ　内,,平17. 8. 1,kyushu/000491318.zip
診療所,40,0210252,医療法人祥知会はこざき公園内科医院,福岡県福岡市東区松島３丁目１１番３０号,092-624-3531,医療法人祥知会　理事長　友岡　卓,友岡　卓,一般　内　消　循　外,,平26. 2. 2,kyushu/000491318.zip
病院,40,0210310,福岡和白病院,福岡県福岡市東区和白丘２丁目２番７５号,092-608-0001,社会医療法人財団池友会　理事長　蒲池　眞澄,蒲池　浩文,一般　内　循環器内科　消化器内科　消化器外科　呼内　神内　外　脳外　心外　呼外　整外　形外　リウ　皮　泌尿器科（人工透析）　眼　麻　リハ　放　病理　救命　産婦　精　小　腎臓内科　糖尿病内科　乳腺外科　血管外科　腫瘍内科　脳内,369,平15. 7. 1,kyushu/000491318.zip
病院,40,0210336,香椎丘リハビリテーション病院,福岡県福岡市東区下原２丁目２４番３６号,092-662-3200,社会医療法人財団池友会　理事長　蒲池　眞澄,松尾　義孝,療養　内　リハ,120,平15. 8. 1,kyushu/000491318.zip
診療所,40,0210351,医療法人相生会ピーエスクリニック,福岡県福岡市博多区店屋町６番１８号ランダムスクウェアビル８Ｆ,092-283-7777,医療法人相生会　浦江　明憲,入江　伸,一般　内科　糖尿病内科　移植外科,,平15. 10. 1,kyushu/000491318.zip
診療所,40,0210369,医療法人社団　ブックス　ブックスクリニック福岡,福岡県福岡市博多区店屋町６番１８号ランダムスクウェアビル６階,092-283-6852,医療法人社団　ブックス　理事長　藤野　武彦,藤野　武彦,内科　糖尿病内科　心内　循環器内科　精,,平15. 10. 1,kyushu/000491318.zip
病院,40,0210393,たたらリハビリテーション病院,福岡県福岡市東区八田１丁目４番６６号,092-691-5508,公益社団法人福岡医療団　代表理事　舟越　光彦,岩元　太郎,一般　療養　内　内科（緩和ケア）　リハ　神内　歯　小歯　矯歯　歯外,130,平15. 10. 1,kyushu/000491318.zip
診療所,40,0210427,医療法人　坂本脳神経クリニック,福岡市東区和白丘三丁目４番４０号,092-605-8282,医療法人　坂本脳神経クリニック　理事長　坂本　王哉,坂本　王哉,脳外　リハ,,令6. 8. 1,kyushu/000491318.zip
病院,40,0210435,三善病院,福岡県福岡市東区唐原４丁目１８番１５号,092-661-1611,松井　隆明,松井　隆明,一般　精神　精　神　内　心内　リハ,120,平16. 1. 1,kyushu/000491318.zip
診療所,40,0210443,医療法人森クリニック,福岡県福岡市博多区下川端町８番１６号,092-291-2270,医療法人森クリニック　理事長　森　幸司,森　幸司,内　胃,,平16. 1. 1,kyushu/000491318.zip
診療所,40,0210468,紀井耳鼻咽喉科クリニック,福岡県福岡市東区香椎浜４丁目２－１,092-202-8711,紀井　登志哉,紀井　登志哉,耳い,,平16. 2. 1,kyushu/000491318.zip
診療所,40,0210484,行徳ひふ科クリニック,福岡県福岡市博多区上呉服町１０－１０呉服町ビジネスセンター２０８,092-262-6801,行徳　隆裕,行徳　隆裕,皮,,平16. 4. 1,kyushu/000491318.zip
診療所,40,0210492,矢住医院,福岡県福岡市博多区美野島２丁目１１番１６号,092-451-0527,矢住　孝昭,矢住　孝昭,内　小,,平16. 3. 9,kyushu/000491318.zip
診療所,40,0210500,福岡和白ＰＥＴ画像診断クリニック,福岡県福岡市東区和白丘２丁目２－７６,092-608-1166,社会医療法人財団池友会　理事長　蒲池　眞澄,田代　城主,内　放,,平16. 4. 1,kyushu/000491318.zip
診療所,40,0210518,医療法人雄心会　ふくおか胃腸クリニック,福岡県福岡市博多区上呉服町１０番１０号２０１号室,092-272-1711,医療法人雄心会　理事長　平瀬　久義,竹原　佳彦,内　胃,,平16. 5. 1,kyushu/000491318.zip
診療所,40,0210526,安藤内科,福岡県福岡市博多区博多駅前１丁目５－１,092-471-1110,安藤　勝己,安藤　勝己,内　精　消　循　心内,,平16. 4. 1,kyushu/000491318.zip
診療所,40,0210534,杉本陽子クリニック,福岡県福岡市東区和白丘１丁目２２－２７,092-605-6626,杉本　陽子,杉本　陽子,形外　皮,,平16. 6. 1,kyushu/000491318.zip
診療所,40,0210542,ひろ眼科,福岡県福岡市東区三苫３丁目２－４８,092-608-3661,安吉　弘毅,安吉　弘毅,眼,,平16. 6. 1,kyushu/000491318.zip
診療所,40,0210559,医療法人酒見内科胃腸科医院　さけみ内科・内視鏡ＩＢＤクリニック,福岡県福岡市東区香住ケ丘３丁目３番１３号,092-681-0553,医療法人酒見内科胃腸科医院　理事長　酒見　泰介,酒見　泰介,内　胃　消　呼内,,平16. 5. 1,kyushu/000491318.zip
