med_type,pref_code,med_code,name,address,phone,opener,manager,depts,beds,designated_date,source
診療所,26,0100261,立命館診療所,〒603－8577京都市北区等持院北町５６－１,075-465-8231,学校法人立命館理事長森島朋三,降旗あき子,内　精,,平5.11.1,278_2026.7_kikanzentai_kyoto_ika.pdf
病院,26,0100725,一般財団法人薬師山,〒603－8479京都市北区大宮薬師山西町１５,075-492-1230,一般財団法人薬師山病院代表理事阿部芳道,平松真,内　緩和ケア内科,70,昭53.11.1,278_2026.7_kikanzentai_kyoto_ika.pdf
病院,26,0100964,京都博愛会病院,〒603－8041京都市北区上賀茂ケシ山一,075-781-1131,社会福祉法人京都博愛会理事長冨田哲也,金盛彦,内　消化器内科　脳内　循環器内科　外　呼外　肛門　外科　整外　リハ　精　眼　耳い　皮　ひ　放　歯　消化器外科,389,昭59.11.1,279_2026.7_kikanzentai_kyoto_sikaheisetu.pdf
病院,26,0101202,医療法人浜田会洛,〒603－8002,075-701-0151,医療法人浜田会,浜田春樹,,80,昭53.11.1,279_2026.7_kikanzentai_kyoto_sikaheisetu.pdf
診療所,26,0161202,北病院,京都市北区上賀茂神山６番地,,理事長浜田春樹,,内　消化器内科　循環器内科　リハ　歯　歯外,,新規,279_2026.7_kikanzentai_kyoto_sikaheisetu.pdf
病院,26,0101806,冨田病院,〒603－8132京都市北区小山下内河原町５６,075-491-3241,社会福祉法人京都博愛会理事長冨田哲也,上田俊二,内　小　循環器内　科　消化器内科　外　整外　婦　眼　リハ　放　精　皮　脳内,99,昭58.6.1,278_2026.7_kikanzentai_kyoto_ika.pdf
診療所,26,0102093,医療法人葵会かも,〒603－8135京都市北区出雲路俵町１５,075-231-3803,医療法人葵会理事長吉川惠造,三上一夫,内　外,,平3.10.1,278_2026.7_kikanzentai_kyoto_ika.pdf
診療所,26,0102739,京都産業大学保健診,〒603－8555京都市北区上賀茂本山４３６,075-705-1511,学校法人京都産業大学理事長山田啓二,東あかね,内　神経精神科,,平6.10.20,278_2026.7_kikanzentai_kyoto_ika.pdf
診療所,26,0102838,京都府医師会雲ケ畑,〒603－8863京都市北区雲ケ畑中畑町１７６,075-406-2001,一般社団法人京都府医師会会長松井道宣,中村智恵,内　小,,平8.5.1,278_2026.7_kikanzentai_kyoto_ika.pdf
診療所,26,0102952,好地医院,〒603－8055京都市北区上賀茂高縄手町２８,075-711-2878,好地利榮子,好地利榮子,小　内　外,,昭48.11.12,278_2026.7_kikanzentai_kyoto_ika.pdf
病院,26,0103141,社会福祉法人聖ヨゼ,〒603－8323京都市北区北野東紅梅町６,075-462-7621,社会福祉法人聖ヨゼフ会理事長糸井利幸,小松博史,整外　リハ　小,125,昭54.4.2,278_2026.7_kikanzentai_kyoto_ika.pdf
診療所,26,0103257,村尾医院,〒603－8432京都市北区大宮西脇台町１３－１,,村尾之義,村尾之義,内　小,,昭56.3.2,278_2026.7_kikanzentai_kyoto_ika.pdf
診療所,26,0103281,丸野医院,〒603－8344京都市北区等持院南町５－３１,,丸野義和,丸野義和,内　小,,昭57.2.1,278_2026.7_kikanzentai_kyoto_ika.pdf
診療所,26,0103315,医療法人葵会上賀,〒603－8077京都市北区上賀茂藤ノ木町２１,075-781-1409,医療法人葵会理事長吉川惠造,錦織麻紀子,内　小　外　放,,平3.12.1,278_2026.7_kikanzentai_kyoto_ika.pdf
