med_type,pref_code,med_code,name,address,phone,opener,manager,depts,beds,designated_date,source
病院,15,0111204,南浜病院,新潟市北区島見町４５４０番地,025-255-2121,医療法人　恵生会　理事長　澁谷　雅子,金子　尚史,精神　精,275,昭39. 6. 1,ika
病院,15,0111279,松浜病院,新潟市北区松浜町３３９６番地,025-259-3241,医療法人　青松会　松浜病院　理事長　佐藤　栄午,小熊　隆夫,精神　精　心内　内,350,昭39. 11. 12,ika
診療所,15,0118340,武田整形外科,新潟市北区松浜東町１－３－５,025-259-2768,武田　和夫,武田　和夫,整外　リハ,,平7. 4. 20,ika
診療所,15,0118829,医療法人社団　寛正会　松田内科呼吸器科クリニック,新潟市北区島見町３９２５－４,025-257-4100,医療法人社団　寛正会　理事長　松田　正史,松田　正史,内　呼　アレ,,平9. 6. 2,ika
診療所,15,0120478,サトウクリニック新崎,新潟市北区新崎１丁目１７番１７号,025-259-3109,医療法人社団サトウクリニック新崎　理事長　佐藤　竹敏,佐藤　竹敏,内　消化器内科　小　呼内　循環器内科,,平12. 4. 1,ika
診療所,15,0121138,たきざわクリニック松浜,新潟市北区松浜１丁目１番地１２,025-255-7551,医療法人社団　恒世会　理事長　瀧澤　恒世,瀧澤　恒世,内　呼　循　消　小,,平14. 4. 1,ika
診療所,15,0122482,大野内科　三森分院,新潟市北区高森新田２００番地,025-244-7847,医療法人社団　鐙会　理事長　大野　隆史,大野　隆史,内　小,,平元. 4. 1,ika
診療所,15,0122540,嶋倉　クリニック,新潟市北区葛塚３４３３番地,025-386-1290,医療法人社団　嶋倉クリニック　理事長　嶋倉　泰裕,嶋倉　泰裕,小　アレ,,平2. 4. 1,ika
診療所,15,0122557,斎藤医院,新潟市北区嘉山２１９８番地３,025-386-1210,斎藤　功,斎藤　功,内　消,,平3. 4. 15,ika
診療所,15,0122565,原田整形外科医院,新潟市北区白新町１丁目３番３号,025-386-8131,原田　彰,原田　彰,整外,,平3. 4. 10,ika
病院,15,0122581,新潟リハビリテーション病院,新潟市北区木崎７６１番地,025-388-2111,医療法人　愛広会　理事長　池田　弘,山本　智章,一般　療養　内　脳内　整外　リハ　麻,108,平5. 12. 1,ika
診療所,15,0122599,成田医院,新潟市北区白新町２丁目１３番３２号,025-387-2911,医療法人社団　成田医院　理事長　成田　昌紀,成田　昌紀,内　呼　アレ,,平7. 4. 1,ika
病院,15,0122615,厚生連　豊栄病院,新潟市北区石動１丁目１１番１号,025-386-2311,新潟県厚生農業協同組合連合会　代表理事理事長　塚田　芳久,関　慶一,一般　内　精　心内　外　整外　皮　眼　ひ　内視鏡内科　循環器内科　神内　リハ　放　麻,199,平9. 9. 1,ika
診療所,15,0122623,耳鼻咽喉科・気管食道科　とみやま医院,新潟市北区太田５５９４番地３,025-388-8733,医療法人社団　とみやま医院　理事長　冨山　道夫,冨山　道夫,耳い　アレ　気管食道外科,,平10. 4. 1,ika
診療所,15,0122656,山口クリニック,新潟市北区早通北１丁目３ー１１,025-386-1131,医療法人社団　山口クリニック　理事長　山口　正康,山口　正康,内　消　脳内,,平13. 4. 1,ika
診療所,15,0122664,小黒内科胃腸科医院,新潟市北区太田５６３３,025-387-0096,医療法人社団　仁誠会　理事長　小黒　仁,小黒　仁,内　胃,,平13. 9. 1,ika
診療所,15,0122672,医療法人社団　さいとう眼科医院,新潟市北区嘉山２２３０番地７,025-384-7107,医療法人社団　さいとう眼科医院　理事長　齋藤　栄智翁,齋藤　栄智翁,眼,,平14. 9. 1,ika
診療所,15,0123340,おおつか内科クリニック,新潟市北区内島見２５１４－１,025-388-1313,大塚　富雄,大塚　富雄,内　呼　循,,平17. 4. 27,ika
診療所,15,0124454,すこやか医院,新潟市北区須戸６９５番地１,025-387-6633,医療法人社団　愛敬会　理事長　里方　美智子,里方　美智子,内　小　循　呼　消　アレ　皮,,平19. 5. 1,ika
診療所,15,0124462,鳥居クリニック,新潟市北区石動１丁目１６番地２号,025-384-5959,医療法人　鳥居クリニック　理事長　鳥居　哲,鳥居　哲,ひ　皮,,平19. 5. 1,ika
診療所,15,0124751,やまもと小児科,新潟市北区濁川１６５－１,025-255-7272,山本　浩介,山本　浩介,小　アレ,,平20. 4. 18,ika
診療所,15,0125048,青木整形外科医院,新潟市北区葛塚３１８８,025-386-9751,医療法人社団　青木整形外科医院　理事長　青木　亮介,青木　亮介,整外　リハ,,平21. 4. 1,ika
診療所,15,0125121,小飯塚医院,新潟市北区嘉山５丁目６番４号,025-388-2321,小飯塚　信仁,小飯塚　信仁,内,,平21. 8. 1,ika
診療所,15,0125600,のぶ皮膚科,新潟市北区内島見２５１４－７,025-388-1616,佐藤　信之,佐藤　信之,皮　アレ,,平23. 5. 12,ika
診療所,15,0125808,いぬかい耳鼻科クリニック,新潟市北区石動１丁目１６番８号,025-384-3311,医療法人社団いぬかい耳鼻科クリニック　理事長　犬飼　賢也,犬飼　賢也,耳い　アレ,,平24. 4. 1,ika
診療所,15,0126020,医療法人社団　仁悠会　あらい眼科,新潟市北区葛塚４３７１,025-388-7701,医療法人社団　仁悠会　理事長　荒井　紳一,荒井　紳一,眼,,平25. 5. 1,ika
診療所,15,0126129,堀医院,新潟市北区白新町４－６－１９,025-387-5780,医療法人社団　新生会　理事長　堀　知行,堀　知行,内　循環器内科,,平25. 11. 1,ika
診療所,15,0126145,にしな子どもクリニック,新潟市北区太田甲５６３５番地６,025-387-1031,仁科　正裕,仁科　正裕,小　アレ,,平26. 4. 14,ika
診療所,15,0127374,いしざか整形外科クリニック,新潟市北区嘉山２１９６番地２,025-388-1154,医療法人社団　いしざか整形外科クリニック　理事長　石坂　眞樹,石坂　眞樹,整外　リハ,,令2. 11. 21,ika
診療所,15,0127812,豊栄こころのクリニック,新潟市北区石動１丁目１７番地１,025-288-5561,佐々木　明子,佐々木　明子,心内　精,,令5. 5. 1,ika
診療所,15,0127929,ポートクリニック好生堂,新潟市北区松浜本町四丁目１番１２号,025-259-2654,医療法人社団好生堂ポートクリニック　理事長　渡邊　脩,渡邊　伸,外　整外　内　呼内,,令6. 1. 1,ika
病院,15,0111519,河渡病院,新潟市東区有楽１丁目１５番地１,025-274-8211,医療法人　恵松会　理事長　佐藤　栄午,若穂囲　徹,精神　精　心内　内,356,昭45. 5. 2,ika
診療所,15,0112350,北越コーポレーション株式会社新潟工場医務室,新潟市東区榎町５７,025-273-1141,北越コーポレーション株式会社　執行役員　新潟工場長　高濟　和弘,永井　明日香,内,,昭42. 4. 1,ika
診療所,15,0115601,阿部小児科医院,新潟市東区有楽３丁目８－６,025-274-8680,阿部　志郎,阿部　志郎,小,,昭60. 7. 1,ika
診療所,15,0115916,岡田内科医院,新潟市東区北葉町１０番５号,025-273-2708,医療法人社団　岡田内科　理事長　岡田　雅美,岡田　雅美,内,,昭61. 12. 1,ika
診療所,15,0116237,医療法人社団　村井整形外科医院,新潟市東区上木戸１丁目３番６号,025-275-1115,医療法人社団　村井整形外科医院　理事長　村井　丈寛,村井　丈寛,整外　リウ　リハ,,昭62. 12. 1,ika
診療所,15,0116468,医療法人社団　佐野医院,新潟市東区東明２丁目９番２号,025-286-5363,医療法人社団　佐野医院　理事長　井上　重宏,井上　重宏,内　消　循,,平元. 4. 1,ika
診療所,15,0116955,戸井田内科医院,新潟市東区中野山４丁目１５番７号,025-276-2950,医療法人社団　戸井田内科医院　理事長　戸井田　竜成,戸井田　竜成,内,,平元. 10. 1,ika
診療所,15,0117235,庄司こども医院,新潟市東区東中野山４－１５－７,025-276-2243,医療法人社団　庄司こども医院　庄司　康寛,庄司　康寛,小　アレ,,平2. 8. 1,ika
診療所,15,0117524,空港前クリニック,新潟市東区太平３丁目７番地１,025-271-6000,医療法人社団　卓志会　理事長　川﨑　克,川﨑　克,耳い　外,,昭45. 1. 20,ika
診療所,15,0117581,いがらし内科医院,新潟市東区宝町１－１２,025-274-2001,五十嵐　英夫,五十嵐　英夫,内　呼　胃　アレ,,平4. 3. 19,ika
診療所,15,0117870,ささげ整形外科,新潟市東区粟山３丁目１番７号,025-277-5959,医療法人社団　ささげ整形外科　理事長　捧　陽介,捧　陽介,リウ　リハ　整外,,平5. 9. 1,ika
診療所,15,0117888,明生堂アイ・クリニック,新潟市東区太平３丁目２０８３番地２９,025-270-3007,医療法人社団　明生堂アイ・クリニック　理事長　松田　隆作,松田　隆作,一般　眼,,平5. 9. 1,ika
診療所,15,0118027,羽尾整形外科,新潟市東区太平３丁目３０－１０,025-275-6116,羽尾　清昭,羽尾　清昭,整外　リウ　リハ,,平6. 4. 1,ika
