med_type,pref_code,med_code,name,address,phone,opener,manager,depts,beds,designated_date,source
病院,42,0112647,医療法人志仁会　西脇病院,長崎市桜木町３－１４,095-827-1187,医療法人志仁会　理事長　西脇　健三郎,西脇　健三郎,精神　精　神　心内,217,昭34. 12. 1,kyushu/000491320.zip
病院,42,0112753,医療法人厚生会　道ノ尾病院,長崎市虹が丘町１－１,095-856-1111,医療法人厚生会　理事長　松本　一隆,松本　一隆,精神　精　心内　内　歯　皮,785,昭35. 12. 1,kyushu/000491320.zip
病院,42,0114510,社会医療法人　春回会　井上病院,長崎市宝町６番１２号,095-844-1281,社会医療法人春回会　理事長　井上　健一郎,吉嶺　裕之,一般　内　消化器内科　内視鏡内科　呼吸器内科　感染症内科　循環器内科　糖尿病内科　腎臓内科　人工透析内科　神経内科　老年内科　外　整外　脳外　眼　放　皮　リハ　消化器外科　内視鏡外科　大腸・肛門外科　睡眠障害内科　救急科,112,平11. 9. 20,kyushu/000491320.zip
病院,42,0115954,聖フランシスコ病院,長崎市小峰町９－２０,095-846-1888,宗教法人聖フランシスコ病院会　代表役員　山　守,磯本　一郎,一般　内科　腎臓内科　人工透析内科　呼内　消化器内科　消化器外科　循環器内科　外科　乳腺外科　呼外　ひ　放　リハ　緩和ケア内科　糖尿病・内分泌内科　リウマチ・膠原病内科　整外,157,昭43. 11. 1,kyushu/000491320.zip
病院,42,0118214,社会医療法人　長崎記念病院,長崎市深堀町１丁目１１－５４,095-871-1515,社会医療法人長崎記念病院　理事長　吉武　孝敏,小出　優史,一般　療養　内　呼　消　循　小　外　整外　形外　脳外　ひ　こう　リハ　放　心外　胃,104,昭52. 3. 10,kyushu/000491320.zip
診療所,42,0118412,社会医療法人健友会　大浦診療所,長崎市大浦町９－３０,095-821-1367,社会医療法人健友会　理事長　三宅　裕子,上尾　真一,内　リハ　呼吸器内科,,昭53. 1. 1,kyushu/000491320.zip
病院,42,0119634,社会医療法人健友会　上戸町病院,長崎市上戸町４丁目２－２０,095-879-0705,社会医療法人健友会　理事長　三宅　裕子,三宅　裕子,一般　療養　内　外　整外　リハ　リウ　神内　消　呼　循　放　麻,,昭57. 12. 1,kyushu/000491320.zip
病院,42,0120160,医療法人博和会　愛宕病院,長崎市愛宕４丁目１４番１号,095-823-7107,医療法人博和会　理事長　宇宿　慶一,西　活央,療養　内　外　放　整外　胃　リハ,150,昭32. 8. 1,kyushu/000491320.zip
病院,42,0120285,医療法人慈恵会　小江原中央病院,長崎市小江原２丁目１番２０号,095-846-1010,医療法人慈恵会小江原中央病院　理事長　川原　史生,川原　史生,一般　療養　内　放　消　呼　循　リハ　整外　外,,昭32. 10. 1,kyushu/000491320.zip
病院,42,0121911,医療法人同仁会　小林病院,長崎市金屋町２－９,095-824-3545,医療法人同仁会　理事長　山口　伊都子,小林　伊都子,療養　内　麻　リハ　循環器内科,,昭32. 10. 1,kyushu/000491320.zip
病院,42,0121952,医療法人友愛会　田川療養所,長崎市錦２丁目１番１号,095-845-2188,医療法人友愛会田川療養所　理事長　田川　雅浩,田川　雅浩,精神　精　心内　内　歯,229,昭32. 10. 1,kyushu/000491320.zip
病院,42,0122034,長崎掖済会病院,長崎市樺島町５－１６,095-824-0610,公益社団法人日本海員掖済会　会長　佐藤　尚之,末広　昌嗣,一般　内科　消化器内科　心臓内科　呼吸器内科　気管食道内科　糖尿病内科　脂質代謝内科　感染症内科　老年内科　内視鏡内科　腎臓内科　外科　消化器外科　肛門外科　腫瘍外科　整外　リハ　リウ　皮　泌尿器科　性感染症泌尿器科　放　麻　脳神経外科,124,昭32. 11. 1,kyushu/000491320.zip
病院,42,0123164,医療法人保善会　田上病院,長崎市田上２丁目１４－１５,095-826-8186,医療法人保善会　理事長　蒔本　憲明,蒔本　憲明,一般　療養　内　外　消化器内科　呼吸器内科　整外　循環器内科　消化器外科　リハ　放,,昭32. 8. 1,kyushu/000491320.zip
病院,42,0125458,一般社団法人是真会　長崎リハビリテーション病院,長崎市銀屋町４番１１号,095-818-2002,一般社団法人是真会　代表理事　栗原　正紀,鬼塚　伸也,療養　療養　リハ　脳外　神内　整外　内　外,143,昭42. 10. 1,kyushu/000491320.zip
診療所,42,0126449,恵の丘診療所,長崎市三ツ山町１３９－５,095-846-0105,社会福祉法人　純心聖母会　理事長　髙平　美智子,朝長　万左男,内　整外　精,,昭45. 4. 1,kyushu/000491320.zip
診療所,42,0126662,井石内科医院,長崎市滑石２丁目５番１７号,095-856-8353,井石　哲哉,井石　哲哉,内　循環器内科　消化器内科,,平21. 11. 24,kyushu/000491320.zip
診療所,42,0127157,長崎市医師会医療センター診療所,長崎市栄町２番２２号,095-818-5600,一般社団法人長崎市医師会　会長　松元　定次,前田　潤平,内,,平14. 4. 1,kyushu/000491320.zip
診療所,42,0127777,出口小児科内科医院,長崎市花丘町１－２６,095-844-1079,出口　忠澄,出口　忠澄,小　内,,昭49. 8. 1,kyushu/000491320.zip
病院,42,0128155,医療法人和仁会　和仁会病院,長崎市中里町９６,095-839-2051,医療法人和仁会　理事長　臼井　和裕,松本　晋,一般　療養　内科　糖尿病内科　腎臓内科　外　整外　ひ　リハ　放　循環器内科　脳外　リウ　人工透析内科,142,昭52. 1. 1,kyushu/000491320.zip
病院,42,0128684,医療法人稲仁会　三原台病院,長崎市三原１丁目８番３５号,095-846-8111,医療法人　稲仁会　理事長　出口　剛,山本　登,一般　療養　内　消化器内科　神内　皮　ひ　眼　耳い　リハ　放　歯　整外　循環器内科,177,昭54. 5. 12,kyushu/000491320.zip
病院,42,0128718,医療法人　光晴会病院,長崎市葉山１丁目３番１２号,095-857-3533,医療法人光晴会　理事長　大坪　俊夫,岡田　和也,一般　内科　腎臓内科　糖尿病内科　消化器内科　循環器内科　外科　肛門外科　ひ　麻　リハ　心外　リウ　呼吸器内科　形外,151,昭54. 6. 1,kyushu/000491320.zip
病院,42,0129575,医療法人昭和会　昭和会病院,長崎市東山手町６－５１,095-827-0181,医療法人昭和会　理事長　今村　由紀夫,今村　由紀夫,療養　内　外　消化器内科　循環器内科　呼吸器内科　皮　リハ　放　ひ　消化器外科　肛門外科　脳外　整外,248,昭57. 6. 1,kyushu/000491320.zip
病院,42,0150431,医療法人厚生会　虹が丘病院,長崎市虹が丘町１番１号,095-856-1112,医療法人厚生会　理事長　松本　一隆,冨永　雅博,一般　内　循環器内科　呼吸器内科　消化器内科　糖尿病内科　脂質代謝内科　腎臓内科　人工透析内科　リウ　神内　外科　血管外科　消化器外科　肛門外科　整外　皮　放　リハ　眼,150,昭62. 4. 6,kyushu/000491320.zip
病院,42,0150498,医療法人光仁会　光仁会病院,長崎市三原３丁目６４３番地,095-844-3456,医療法人光仁会　理事長　本村　龍太郎,本村　龍太郎,精神　内　精　心内　皮　リハ　放,553,昭62. 9. 7,kyushu/000491320.zip
診療所,42,0160109,田川耳鼻咽喉科診療所,長崎市相生町２－３バンビル３Ｆ,095-827-7760,田川　幸雄,田川　幸雄,耳い　アレ,,昭60. 8. 1,kyushu/000491320.zip
診療所,42,0160141,朝永整形外科医院,長崎市城栄町１３－５,095-844-2579,朝永　正剛,朝永　正剛,整外　リハ,,昭60. 11. 1,kyushu/000491320.zip
診療所,42,0160158,野田消化器クリニック,長崎市浜町２－１８,095-826-9252,野田　剛稔,野田　剛稔,消　外　リハ　放,,昭60. 12. 2,kyushu/000491320.zip
診療所,42,0160240,医療法人友愛会　田川クリニック,長崎市浜口町１４－１６,095-845-5586,医療法人友愛会　理事長　田川　雅浩,林田　健太郎,精　心内,,昭61. 6. 1,kyushu/000491320.zip
診療所,42,0160398,西山さとう眼科医院,長崎市西山２丁目２－１１,095-822-1238,佐藤　眞由美,佐藤　眞由美,眼,,平7. 8. 7,kyushu/000491320.zip
診療所,42,0160422,つのだ医院,長崎市つつじが丘１－１５－２４,095-839-7022,角田　悦朗,角田　悦朗,内,,平4. 11. 1,kyushu/000491320.zip
診療所,42,0160471,松原牟田内科小児科医院,長崎市松原町２５５０,095-839-3555,牟田　隆也,牟田　隆也,内　小,,昭62. 8. 18,kyushu/000491320.zip
診療所,42,0160489,右田医院,長崎市界１丁目１－５,095-839-5100,右田　礼二郎,右田　礼二郎,内　循　小,,昭62. 9. 5,kyushu/000491320.zip
診療所,42,0160505,医療法人社団　なかむら内科診療所,長崎市万屋町５－７関谷ビル２Ｆ,095-822-8815,医療法人社団なかむら内科診療所　理事長　中村　良三,中村　良三,内,,昭62. 9. 10,kyushu/000491320.zip
病院,42,0160521,医療法人衆和会　長崎腎病院,長崎市興善町５－１,095-824-1101,医療法人衆和会　理事長　舩越　哲,舩越　哲,一般　内　腎臓内科　ひ,,平23. 7. 4,kyushu/000491320.zip
診療所,42,0160596,横田医院,長崎市桜馬場２丁目１番１５号,095-822-5005,横田　実,横田　実,内　呼　消　循　小,,昭63. 3. 12,kyushu/000491320.zip
診療所,42,0160752,医療法人社団健生会　東長崎医院,長崎市田中町１０２７－１３,095-837-1181,医療法人社団健生会　理事長　福田　寛典,福田　寛典,ひ,,昭63. 9. 1,kyushu/000491320.zip
診療所,42,0160844,医療法人　さいのお耳鼻咽喉科医院,長崎市大橋町１０番２３号,095-848-6100,医療法人　さいのお耳鼻咽喉科医院　理事長　道祖尾　弦,道祖尾　弦,耳い,,平27. 11. 1,kyushu/000491320.zip
診療所,42,0160851,医療法人社団　池田胃腸内科医院,長崎市相生町５番１号,095-822-7792,医療法人社団　池田胃腸内科医院　理事長　池田　幸紀,池田　幸紀,内科　胃腸内科　内視鏡内科　循環器内科　消化器内科　呼吸器内科,,平25. 12. 1,kyushu/000491320.zip
診療所,42,0160927,医療法人　赤司消化器クリニック,長崎市桜町６番１０号,095-827-2161,医療法人　赤司消化器クリニック　理事長　赤司　有史,赤司　有史,外　消,,令2. 9. 23,kyushu/000491320.zip
診療所,42,0160935,医療法人社団　あき山皮ふ科医院,長崎市滑石１丁目２番６号,095-857-3859,医療法人社団あき山皮ふ科医院　理事長　穐山　雄一郎,穐山　雄一郎,皮　アレ,,平19. 11. 5,kyushu/000491320.zip
診療所,42,0160943,医療法人社団　麻生整形外科医院,長崎市横尾２－１３－１８,095-857-2055,医療法人社団麻生整形外科医院　理事長　麻生　英一郎,麻生　英一郎,一般　整外　リハ　リウ,,平元. 4. 1,kyushu/000491320.zip
診療所,42,0160950,医療法人社団博生会　大久保医院,長崎市新地町４番１５号,095-823-5996,医療法人社団生会　大久保医院　理事長　片峰　智子,片峰　智子,内　胃　循,,平9. 7. 3,kyushu/000491320.zip
診療所,42,0160984,医療法人社団　佐藤眼科医院,長崎市本石灰町５－１１,095-822-0321,医療法人社団佐藤眼科医院　理事長　佐藤　安雄,佐藤　安雄,眼,,平元. 4. 1,kyushu/000491320.zip
診療所,42,0160992,医療法人社団　白井小児クリニック,長崎市出島町１３－１出島栗原ビル２Ｆ,095-828-2711,医療法人社団白井小児クリニック　理事長　永野　清昭,永野　清昭,小,,平元. 4. 1,kyushu/000491320.zip
診療所,42,0161032,医療法人社団　津田眼科医院,長崎市八百屋町２－１,095-825-1300,医療法人社団津田眼科医院　理事長　津田　佳助,津田　佳助,一般　眼,,平元. 4. 1,kyushu/000491320.zip
診療所,42,0161040,弥生ケ丘中口内科医院,長崎市弥生町４ー５６,095-823-6334,医療法人陽水会　理事長　有馬　敬子,有馬　哲彦,内　消　リハ　精,,平10. 6. 1,kyushu/000491320.zip
診療所,42,0161057,医療法人　永尾内科医院,長崎市宝栄町１－１,095-861-6769,医療法人永尾内科医院　理事長　永尾　敬美,永尾　敬美,内　胃　循　放　呼,,平元. 4. 1,kyushu/000491320.zip
診療所,42,0161149,吉田医院,長崎市桜馬場１－１０－１７,095-822-6817,吉田　光夫,吉田　光夫,小　内　麻,,平元. 4. 17,kyushu/000491320.zip
診療所,42,0161180,医療法人　中浦皮膚科医院,長崎市中里町１０３０－２,095-837-1316,医療法人中浦皮膚科医院　理事長　中浦　淳,中浦　淳,皮,,平5. 6. 1,kyushu/000491320.zip
診療所,42,0161198,医療法人　古市外科胃腸科医院,長崎市緑が丘町２－１,095-844-5555,医療法人古市外科胃腸科医院　理事長　古市　哲,古市　哲,外　整外　胃　皮　こう,,平5. 11. 29,kyushu/000491320.zip
診療所,42,0161206,医療法人　田村内科神経内科油木坂クリニック,長崎市油木町８番４８号,095-845-5314,医療法人田村内科神経内科油木坂クリニック　理事長　岩永　圭介,岩永　圭介,内　神内　リハ,,平18. 5. 1,kyushu/000491320.zip
診療所,42,0161263,医療法人社団　東和会　サイノオ耳鼻咽喉科医院,長崎市銅座町５－７,095-822-1515,医療法人社団東和会　サイノオ耳鼻咽喉科医院　理事長　道祖尾　直知,道祖尾　直知,耳い　気食　アレ,,平元. 7. 1,kyushu/000491320.zip
診療所,42,0161339,医療法人　奥内科医院,長崎市西山２丁目１０番１０号,095-822-5355,医療法人奥内科医院　理事長　奥　百合子,奥　百合子,内　小　循,,平元. 8. 1,kyushu/000491320.zip
診療所,42,0161347,医療法人社団　奥平外科医院,長崎市梁川町４－１５,095-861-5050,医療法人社団奥平外科医院　理事長　奥平　定之,奥平　定之,外　整外　消化器内科,,平元. 8. 1,kyushu/000491320.zip
診療所,42,0161362,医療法人社団明星会　サイクサ外科医院,長崎市新地町４－８,095-824-3193,医療法人社団明星会サイクサ外科医院　理事長　立石　修三,立石　修三,外　整外　リハ　消　こう,,平元. 8. 1,kyushu/000491320.zip
診療所,42,0161370,医療法人　杉田レディースクリニック,長崎市松山町３－９４松屋ビル,095-849-3040,医療法人杉田レディースクリニック　理事長　杉田　豊隆,杉田　豊隆,一般　婦　内,,平元. 8. 1,kyushu/000491320.zip
診療所,42,0161388,医療法人　田中皮ふ科医院,長崎市若葉町１２－１９,095-844-2808,医療法人田中皮ふ科医院　理事長　田中　敬一,田中　敬一,皮　アレ,,平5. 6. 1,kyushu/000491320.zip
診療所,42,0161404,医療法人社団康仁会　林医院,長崎市弁天町１１－２２,095-861-6262,医療法人社団康仁会　理事長　林　郁夫,林　郁夫,内　循　外　整外,,平元. 8. 1,kyushu/000491320.zip
診療所,42,0161412,医療法人社団　深堀内科医院,長崎市小ケ倉町３丁目７６－７７,095-878-1182,医療法人社団深堀内科医院　理事長　深堀　茂樹,深堀　茂樹,一般　療養　内　呼　消　循　小,,平元. 8. 1,kyushu/000491320.zip
診療所,42,0161446,医療法人　宮崎内科医院,長崎市白鳥町３番１２号,095-845-0312,医療法人宮崎内科医院　理事長　宮﨑　修平,古林　正和,内　循　消,,平18. 6. 19,kyushu/000491320.zip
診療所,42,0161453,医療法人社団照和会　松本循環器内科医院,長崎市柳田町５７－１,095-879-2005,医療法人社団照和会松本循環器内科医院　理事長　松本　保和,松本　保和,内　呼　循,,平元. 8. 1,kyushu/000491320.zip
診療所,42,0161461,医療法人　森医院,長崎市中里町１２８９－１,095-837-1255,医療法人森医院　理事長　森　頼隆,森　頼隆,内　小　放　整外　耳,,平18. 3. 13,kyushu/000491320.zip
診療所,42,0161511,医療法人　河野内科医院,長崎市川平町１２０４,095-846-5101,医療法人河野内科医院　理事長　河野　通夫,河野　通夫,内　消,,平9. 6. 20,kyushu/000491320.zip
診療所,42,0161537,医療法人福曜会　福田医院,長崎市鍛冶屋町６－６,095-823-5071,医療法人福曜会福田医院　理事長　高岸　有子,高岸　有子,内　小　外　整外　リハ,,平元. 9. 1,kyushu/000491320.zip
診療所,42,0161693,医療法人　阿保外科医院,長崎市宿町２８－１,095-839-1151,医療法人阿保外科医院　理事長　阿保　貴章,阿保　貴章,外　胃　整外,,平2. 1. 1,kyushu/000491320.zip
診療所,42,0161792,医療法人　木下内科医院,長崎市江戸町５番１４号,095-822-9266,医療法人木下内科医院　理事長　木下　秀樹,木下　秀樹,内　消　呼　循,,平10. 7. 21,kyushu/000491320.zip
診療所,42,0161859,石野皮膚科医院,長崎市目覚町３－２,095-843-7575,石野　八州子,石野　八州子,皮,,平2. 6. 14,kyushu/000491320.zip
診療所,42,0161891,たちばなベイクリニック,長崎市網場町４８７番８,095-830-1188,医療法人　今村　理事長　今村　剛,南　ひとみ,一般　内　整外　リハ　麻　眼　消化器内科　循環器内科,,平27. 7. 1,kyushu/000491320.zip
