med_type,pref_code,med_code,name,address,phone,opener,manager,depts,beds,designated_date,source
診療所,12,0101980,松本医院,千葉市中央区神明町１‐２４,043-241-1024,松本　清一,松本　清一,内　小　放,,昭40. 4. 1,ika
病院,12,0110163,医療法人グリーンエミネンス　中村古峡記念病院,千葉市中央区千葉寺町１８８,043-261-3336,医療法人グリーンエミネンス　理事長　中村　周二,安田　聖子,精神　精　神　整外　リハ　心内　放　内,240,昭32. 10. 1,ika
病院,12,0110171,医療法人社団普照会　井上記念病院,千葉市中央区新田町１‐１６,043-245-8800,医療法人社団普照会　理事長　中村　博敏,森嶋　友一,一般　療養　内　外　整外　眼　ひ　放　リハ　婦　皮　乳腺外科,120,昭32. 10. 1,ika
病院,12,0110197,医療法人柏葉会　柏戸病院,千葉市中央区長洲２‐２１‐８,043-227-8366,医療法人柏葉会　理事長　柏戸　孝一,斉藤　俊弘,一般　療養　内　外　眼　リハ　整外　呼内　脳内　肝臓内科　循環器内科　糖尿病内科　消化器内科　消化器外科,129,昭34. 1. 1,ika
病院,12,0110262,医療法人社団明生会　三橋明生病院,千葉市中央区亀井町２－３,043-224-8201,医療法人社団明生会　理事長　田畑　祐輔,三橋　修,一般　一般　療養　療養　内　外　整外　人工透析内科　人工透析外科　消化器内科　消化器外科　胃腸内科　胃腸外科　腎臓内科　脳外　ペインクリニック内科　ペインクリニック外科　和漢　循環器内科,90,昭32. 10. 1,ika
病院,12,0110304,医療法人学而会　木村病院,千葉市中央区東本町６－１９,043-227-0547,医療法人学而会　理事長　木村　大,渡　博幸,精神　精　心内,122,昭32. 9. 1,ika
病院,12,0110502,医療法人　寛裕会　浜野ホスピタル,千葉市中央区浜野町９１５,043-264-6161,医療法人　寛裕会　理事長　西村　勝治,西村　勝治,精神　精　神内,180,昭41. 4. 1,ika
病院,12,0110635,独立行政法人地域医療機能推進機構　千葉病院,千葉市中央区仁戸名町６８２,043-261-2211,独立行政法人地域医療機能推進機構　理事長　山本　修一,岡住　慎一,一般　内　呼内　外　整外　ひ　眼　耳い　形外　心外　皮　リハ　婦　人工透析内科　消化器外科　大腸・肛門外科　内視鏡外科　人工透析外科　血液内科　循環器内科　消化器内科　腎臓内科　内視鏡内科　移植外科,160,昭46. 6. 1,ika
診療所,12,0110668,一般社団法人千葉衛生福祉協会　千葉診療所,千葉市中央区院内１－８－１２,043-224-2255,一般社団法人千葉衛生福祉協会　代表理事　石渡　亮仁,桑原　洋一,内　循　消　放,,昭47. 10. 1,ika
病院,12,0110684,千葉県がんセンター,千葉市中央区仁戸名町６６６－２,043-264-5431,千葉県知事　熊谷　俊人,加藤　厚,一般　内　整外　脳外　呼外　皮　ひ　婦　耳い　麻　歯　呼内　形外　病理　消化器内科　消化器外科　乳腺外科　頭頸部外科　腫瘍・血液内科　緩和ケア内科　腫瘍精神科　放射線診断科　放射線治療科　内視鏡内科　食道・胃腸外科　肝臓・胆のう・膵臓外科　循環器内科,450,昭47. 11. 1,ika
