med_type,pref_code,med_code,name,address,phone,opener,manager,depts,beds,designated_date,source
病院,46,0110365,医療法人　慈恵会　土橋病院,鹿児島市西田一丁目１６の１,099-257-5711,医療法人　慈恵会　理事長　土橋　苑子,土橋　美子,一般　内　神内　リハ　放　心内　精　アレ　呼吸器内科,,昭32. 10. 1,kyushu/000491324.zip
病院,46,0110431,公益社団法人　いちょうの樹　メンタルホスピタル鹿児島,鹿児島市永吉一丁目１１番１号,099-256-4567,公益社団法人　いちょうの樹　理事長　佐藤　大輔,新里　研吾,精神　精　心内　神内　内,395,昭32. 10. 1,kyushu/000491324.zip
病院,46,0110563,公益社団法人　鹿児島共済会　南風病院,鹿児島市長田町１４－３,0570-01-7333,公益社団法人　鹿児島共済会　会長　貞方　洋子,吉野　伸司,一般　内　腎臓内科　老年内科　肝臓内科　緩和ケア内科　糖尿病・内分泌内科　ペインクリニック内科　外　脳外　整外　小児整形外科　放　麻　リハ　リウ　病理診断科　呼内　脳内　人工透析内科　呼外　消化器内科　消化器外科　循環器内科　腎臓内科,308,昭32. 10. 1,kyushu/000491324.zip
病院,46,0110621,医療法人　恵和会　白浜病院,鹿児島市常盤１丁目１７番１号,099-253-4141,医療法人　恵和会　理事長　才川　崇,前田　博久,精神　精,168,昭32. 10. 1,kyushu/000491324.zip
病院,46,0110738,日高病院,鹿児島市西千石町８番１３号,099-223-3291,医療法人　仁風会　理事長　日高　正八郎,日高　正八郎,一般　療養　整外　リハ　リウ　神内　麻　循　形外,,昭32. 10. 1,kyushu/000491324.zip
病院,46,0110811,桜島　病院,鹿児島市野尻町５９,099-221-2031,社会医療法人　天陽会　理事長　厚地　伸彦,今村　進一,療養　内　外　リハ　放　眼　耳い　循環器内科　整外,,昭32. 10. 1,kyushu/000491324.zip
病院,46,0110910,社会福祉法人恩賜財団済生会支部　済生会鹿児島病院,鹿児島市南林寺町１の１１,099-223-0101,社会福祉法人　恩賜財団済生会支部　鹿児島県済生会　支部長　久保園　高明,黒野　明日嗣,一般　療養　内　放　腎臓内科　透析内科　消化器内科　循環器内科　呼内,,昭32. 7. 1,kyushu/000491324.zip
病院,46,0110985,公益財団法人　東風会　三船病院,鹿児島市吉野町１０００４の１,099-247-3016,公益財団法人　東風会　理事長　日高　道生,年永　隆一,一般　結核　療養　内　呼　消　リハ　外　形外,116,昭32. 10. 1,kyushu/000491324.zip
病院,46,0111025,医療法人　敬愛会　玉里病院,鹿児島市玉里町２６－２０,099-224-0700,医療法人　敬愛会　理事長　中江　佐八郎,吉田　巌,精神　精　心内　内,180,昭33. 3. 10,kyushu/000491324.zip
病院,46,0111058,医療法人　敬愛会　中江病院,鹿児島市西千石町４番１３号,099-224-3121,医療法人　敬愛会　理事長　中江　佐八郎,中江　佐八郎,療養　内　循環器内科　消化器内科　呼内　リハ,,昭33. 4. 1,kyushu/000491324.zip
病院,46,0111157,玉水会病院,鹿児島市下伊敷一丁目１番５号,099-223-3330,医療法人　玉水会　理事長　永友　知澄,長友　由紀子,一般　内科　糖尿病内科　消化器内科　循環器内科　リハ　心内　呼内,,昭34. 1. 1,kyushu/000491324.zip
病院,46,0111199,医療法人　康成会　植村病院,鹿児島市草牟田一丁目４－７,099-222-6925,医療法人　康成会　理事長　植村　健,植村　健,一般　療養　内　神内　胃　循　リハ,,昭33. 4. 1,kyushu/000491324.zip
病院,46,0111355,社会医療法人　愛仁会　植村病院,鹿児島市伊敷二丁目１番２号,099-220-1730,社会医療法人　愛仁会　理事長　新井　尚希,川名　英世,一般　内　外　心外　循環器内科　消化器内科　呼内　救急科　整外　リハ　神内,,昭35. 5. 1,kyushu/000491324.zip
病院,46,0111603,医療法人　明心会　吉野病院,鹿児島市吉野四丁目３２番１号,099-243-0048,医療法人　明心会　理事長　児玉　和久,竹之内　薫,精神　精　心内,121,昭37. 2. 1,kyushu/000491324.zip
病院,46,0111637,医療法人　共助会　三州脇田丘病院,鹿児島市宇宿７丁目２６番１号,099-264-0667,医療法人　共助会　理事長　日笠山　大介,西　圭三,精神　精　内　心内,162,昭37. 6. 1,kyushu/000491324.zip
病院,46,0112031,西田橋小田原病院,鹿児島市平之町１－２７,099-224-0823,医療法人　尚愛会　理事長　小田原　良治,小林　由佳,一般　内科　糖尿病内科　リハ　脳内　胃腸内科　リウ　循環器内科,,昭40. 5. 1,kyushu/000491324.zip
病院,46,0112072,上町いまきいれ病院,鹿児島市長田町５番２４号,099-222-1800,公益社団法人　昭和会　代表理事　今給黎　和幸,丸山　芳一,一般　内　脳内　整外　リハ　眼　糖尿病内科,101,昭40. 7. 1,kyushu/000491324.zip
病院,46,0112304,医療法人　慈圭会　八反丸リハビリテーション病院,鹿児島市下竜尾町３－２８,099-222-3111,医療法人　慈圭会　理事長　八反丸　哲史,福田　美喜子,療養　整外　リハ　外　内　リウ　心内,150,昭41. 8. 1,kyushu/000491324.zip
