med_type,pref_code,med_code,name,address,phone,opener,manager,depts,beds,designated_date,source
病院,11,0301762,医療法人社団　恵仁会　与野中央病院,さいたま市西区島根６５,048-624-2211,医療法人社団　恵仁会　理事長　関場　秀高,関場　秀高,精神　精　神,120,昭43. 5. 1,ika
診療所,11,0303560,山本内科医院,さいたま市西区指扇２１２８－４６,048-623-1016,山本　猛,山本　猛,内　消　循,,昭61. 10. 1,ika
診療所,11,0304105,みはし医院,さいたま市西区三橋６－５３,048-624-2545,湯澤　聡,湯澤　聡,内　小　外　皮　眼,,平2. 2. 23,ika
診療所,11,0304220,医療法人　須賀医院,さいたま市西区大字島根４８４－２,048-623-7311,医療法人　須賀医院　理事長　須賀　幾,須賀　幾,内　消　循　小　放,,平2. 9. 1,ika
診療所,11,0304311,医療法人　政芳会　田中クリニック,さいたま市西区大字宝来字上横手１５３８－６,048-729-7730,医療法人　政芳会　理事長　根本　孝,根本　孝,内　消　循　小,,平3. 2. 1,ika
診療所,11,0304758,湯澤医院,さいたま市西区大字西遊馬１２６０－１,048-624-3974,医療法人　博滇会　理事長　湯澤　俊,湯澤　俊,内　精　小　皮　心内,,平5. 9. 1,ika
診療所,11,0305128,おおみや診療所,さいたま市西区指扇１１００－２,048-624-0238,医療生協さいたま生活協同組合　代表理事　増田　剛,山田　晃務,内,,平7. 10. 1,ika
診療所,11,0305136,けやき医院,さいたま市西区中野林６４３－２,048-620-1222,医療法人　けやき医院　理事長　川口　寛裕,川口　寛裕,内　消　リウ,,平7. 10. 1,ika
診療所,11,0305904,わかばやし耳鼻咽喉科,さいたま市西区土屋字上谷５９４ー１,048-626-0187,若林　徹,若林　徹,耳い,,平10. 6. 1,ika
診療所,11,0306118,わかやま内科,さいたま市西区中釘２３７２番地１７,048-624-5876,若山　孝,若山　孝,内　呼　胃　循　皮　アレ,,平11. 7. 1,ika
診療所,11,0306274,医療法人　愛慈会　橋本内科クリニック,さいたま市西区中野林２６２番地の２　１階,048-622-8321,医療法人　愛慈会　理事長　橋本　英二郎,橋本　英二郎,内　小　胃,,平12. 5. 1,ika
病院,11,0306357,指扇療養病院,さいたま市西区宝来１３４８番地１,048-623-1102,医療法人　三慶会　理事長　鈴木　慶太,森山　光彦,療養　内　皮　リハ,240,平12. 10. 1,ika
診療所,11,6500078,永田医院,さいたま市西区土屋５番地,048-624-4026,医療法人　永田医院　理事長　永田　悦男,永田　悦男,内　小,,平13. 5. 1,ika
診療所,11,6500102,さいたま市総合療育センターひまわり学園,さいたま市西区三橋６丁目１５８７番地,048-622-1211,さいたま市　さいたま市長　清水　勇人,小峯　真紀,小　精　整外　眼　耳い　歯　リハ,,平13. 5. 1,ika
