med_type,pref_code,med_code,name,address,phone,opener,manager,depts,beds,designated_date,source
病院,35,0110202,医療法人水の木会　下関病院,下関市富任町６丁目１８番１８号,083-258-0338,医療法人水の木会　理事長　水木　寛,水木　寛,精神　精神　精神　精　心内　神内　内,202,昭32. 10. 31,ika
病院,35,0110277,医療法人其桃会　西尾病院,下関市竹崎町１丁目１６番３号,083-223-8138,医療法人其桃会　理事長　西尾　秀樹,西尾　秀樹,療養　内　リハ　血液内科　循環器内科　消化器内科,,昭52. 10. 31,ika
診療所,35,0110657,サンデン交通診療所,下関市羽山町３番３号,083-231-1000,サンデン交通株式会社　代表取締役　竹重　秀敏,小畑　秀登,内,,昭32. 10. 31,ika
病院,35,0111002,医療法人　長府病院,下関市長府中之町２番４号,083-245-1131,医療法人長府病院　理事長　加藤　吉晴,加藤　吉晴,一般　一般　内　神内　呼　消　循　外　整外　リハ　放,60,昭32. 10. 31,ika
病院,35,0111242,独立行政法人地域医療機能推進機構　下関医療センター,下関市上新地町３丁目３番８号,083-231-5811,独立行政法人地域医療機能推進機構　理事長　山本　修一,大下　昇,一般　一般　一般　一般　結核　内　精　神内　外　整外　脳外　呼外　皮　ひ　婦　眼　耳い　リハ　放　麻　病理　歯外　呼内　糖内　血内　血外　消内　消外　循内　緩和ケア内科,187,昭34. 8. 7,ika
病院,35,0111598,光風園病院,下関市長府才川２丁目２１番２号,083-248-0254,医療法人愛の会　理事長　木下　毅,木下　祐介,一般　療養　内　リハ,225,昭32. 10. 31,ika
病院,35,0112265,医療法人山陽会　長門一ノ宮病院,下関市形山みどり町１７番３５号,083-256-2011,医療法人山陽会　理事長　稲野　秀,稲野　秀,精神　精神　精　児童精神科　心内　小,150,昭39. 5. 1,ika
診療所,35,0113131,下関市夜間急病診療所,下関市大学町２丁目１番３号,083-252-3789,下関市長　前田　晋太郎,飴山　晶,内　小,,昭52. 10. 1,ika
病院,35,0113222,医療法人社団青寿会　武久病院,下関市武久町２丁目５３番８号,083-252-2124,医療法人社団青寿会　理事長　頴原　健,時澤　郁夫,一般　療養　内　循環器内科　整外　ひ　リハ　皮　歯,203,昭54. 1. 1,ika
病院,35,0113271,医療法人元洋会森山病院,下関市宮田町２丁目８番２０号,083-231-0781,医療法人元洋会　理事長　森山　秀樹,森山　秀樹,療養　内　消化器内科　リハ,,昭54. 9. 1,ika
診療所,35,0113321,西尾医院,下関市岬之町９番６号,083-222-3060,西尾　武,西尾　武,皮　ひ　性,,昭55. 4. 1,ika
診療所,35,0113339,西尾内科,下関市南部町１７番７号,083-222-1752,西尾　和政,西尾　和政,内　胃,,昭55. 5. 1,ika
