med_type,pref_code,med_code,name,address,phone,opener,manager,depts,beds,designated_date,source
診療所,22,0101446,つちや眼科,賀茂郡東伊豆町稲取４６８番地の１,0557-95-1026,土屋　清一,土屋　清一,眼,,昭63. 8. 1,ika
診療所,22,0101461,白津医院,賀茂郡南伊豆町手石３２７番地,0558-62-3116,白津　文夫,白津　文夫,内　消化器内科,,令4. 7. 19,ika
診療所,22,0101479,池田医院,賀茂郡西伊豆町宇久須４１７－２,,池田　正見,池田　正見,内　外　胃　小,,平2. 10. 6,ika
診療所,22,0101578,なかむら医院,賀茂郡東伊豆町奈良本１２４０ー８６,0557-23-1088,中村　伸之,中村　伸之,整外　外　リハ　リウ,,平13. 5. 1,ika
診療所,22,0101602,太田整形外科,賀茂郡東伊豆町片瀬５７３－５,0557-22-0017,太田　清利,太田　清利,整外　内　リウ　リハ,,平17. 2. 1,ika
診療所,22,0101610,宇野眼科クリニック,賀茂郡松崎町宮内３２９－１,0558-43-3533,伊沢　庸之,伊沢　庸之,眼,,平23. 7. 1,ika
診療所,22,0101628,佐藤医院,賀茂郡河津町浜１８３ー５,0558-32-0551,佐藤　有規,佐藤　有規,内　外　整外,,平26. 10. 25,ika
診療所,22,0101644,Ｖ　Ｃｌｉｎｉｃ,賀茂郡東伊豆町奈良本１４４６－５,0557-23-5771,髙梨　真教,髙梨　真教,形外　美外　皮,,令2. 9. 1,ika
診療所,22,0101651,はらクリニック,賀茂郡南伊豆町青市５６５番地の１１,0558-62-5959,原　威史,原　威史,内　消化器内科　内視鏡内科　アレ,,令2. 10. 1,ika
病院,22,0110165,医療法人社団健育会　熱川温泉病院,賀茂郡東伊豆町白田４２４番地,,医療法人社団健育会　理事長　竹川　節男,藤田　和彦,療養　内　外　整外　脳外　脳神経内科　ひ　皮　循環器内科　呼外　リハ　リウ　人工透析内科　糖尿病・内分泌内科　小,199,昭44. 1. 1,ika
診療所,22,0110207,医療法人慈愛会　石田医院,賀茂郡松崎町江奈２４３－３,,医療法人慈愛会石田医院　理事長　石田　明彦,石田　明彦,内　胃　外　産婦　小,,昭51. 4. 1,ika
病院,22,0110249,医療法人社団健育会　西伊豆健育会病院,賀茂郡西伊豆町仁科１３８－２,,医療法人社団健育会　理事長　竹川　節男,仲田　和正,一般　その他　内　循環器内科　呼外　整外　皮　ひ　リハ　形外　小,,平元. 7. 1,ika
診療所,22,0110272,熱川クリニック,賀茂郡東伊豆町片瀬４０２－１,0557-23-0543,医療法人豊友会　理事長　佐藤　元春,佐藤　元春,内　小　整外,,平14. 1. 21,ika
診療所,22,0110298,飯島医院,賀茂郡南伊豆町下賀茂１９８,,医療法人社団孝真会　理事長　飯島　孝明,飯島　孝明,内　小　リハ　リウ　アレ　皮,,平13. 8. 1,ika
病院,22,0110306,医療法人社団康心会　康心会伊豆東部病院,賀茂郡東伊豆町稲取１７－２,,医療法人社団康心会　理事長　大屋敷　芙志枝,中川　隆雄,一般　内　外　整外　リハ　眼　消化器内科　循環器内科　腎臓内科（人工透析）　脳内　脳外,160,平14. 4. 1,ika
診療所,22,0110314,かわづクリニック,賀茂郡河津町笹原３０１ー２,0558-32-2766,医療法人社団辰巳会　理事長　鈴木　和重,鈴木　和重,小　内,,平16. 1. 1,ika
診療所,22,0110322,中江医院,賀茂郡松崎町松崎３６７,,医療法人社団恒愛会　理事長　中江　順,中江　順,内　小　消　胃,,平16. 2. 1,ika
診療所,22,0110330,かとうクリニック,賀茂郡河津町浜９８ー３,0558-34-2717,医療法人社団照光　理事長　加藤　訓久,加藤　訓久,外　消　内,,平17. 8. 1,ika
診療所,22,0110355,公益社団法人地域医療振興協会　上河津診療所,賀茂郡河津町下佐ケ野７１－１,0558-36-8606,公益社団法人地域医療振興協会　理事長　藤来　靖士,伊藤　淑子,内　小　外,,平24. 8. 1,ika
病院,22,0110363,公益社団法人地域医療振興協会　伊豆今井浜病院,賀茂郡河津町見高１７８,0558-34-1123,公益社団法人地域医療振興協会　理事長　藤来　靖士,小池　宏明,一般　内　循内　外　整外　小　皮　婦　眼　耳い　リハ　麻,100,平24. 5. 1,ika
診療所,22,0110371,下田メディカルセンター附属みなとクリニック,賀茂郡南伊豆町湊６７４,0558-62-0005,一部事務組合下田メディカルセンター　管理者　下田市長　松木　正一郎,原　徳壽,内,,平24. 5. 1,ika
診療所,22,0110397,西伊豆町田子診療所,賀茂郡西伊豆町田子９４３－２,0558-53-1555,静岡県賀茂郡西伊豆町　西伊豆町長　星野　淨晋,笹井　平,内　外,,平27. 3. 1,ika
診療所,22,0110405,西伊豆町安良里診療所,賀茂郡西伊豆町安良里３３２－１,0558-56-0016,静岡県賀茂郡西伊豆町　西伊豆町長　星野　淨晋,大石　延正,内　外　耳い,,平29. 4. 1,ika
診療所,22,0110413,市之瀬診療所,賀茂郡南伊豆町市之瀬５０７－７,0558-63-3670,社会医療法人駿甲会　理事長　甲賀　美智子,近藤　年昭,内　整外　眼,,平29. 4. 1,ika
病院,22,0110421,河津浜病院,賀茂郡河津町川津筏場１５１２－７,0558-35-7321,医療法人それいゆ会　理事長　林　克英,佐藤　宏昭,精神　精,190,平30. 5. 1,ika
診療所,22,0110439,ペンクリニック,賀茂郡松崎町江奈５７４番地３しんわ福祉サービス松崎２階一部,,医療法人しんわ全人会　理事長　犬塚　宗希,犬塚　宗希,内　整外　皮,,令6. 11. 1,ika
