med_type,pref_code,med_code,name,address,phone,opener,manager,depts,beds,designated_date,source
病院,44,0110219,大分下郡病院,大分市大字下郡１４１０番地,097-569-1021,医療法人同仁会　理事長　長松　大子,児島　克博,精神　精　心内　内　神,384,昭35. 10. 1,kyushu/000491322.zip
病院,44,0110698,佐藤病院,大分市桜ケ丘７番６７号,097-543-6332,医療法人明和会　理事長　宇都宮　和則,萩原　聡,精神　精　心内　内,366,昭35. 10. 1,kyushu/000491322.zip
病院,44,0111043,今村病院,大分市大手町３丁目２番２９号,097-532-5181,医療法人芝蘭会　理事長　今村　純忠,今村　純忠,一般　整外　循環器内科　外　内　リハ,,昭37. 4. 1,kyushu/000491322.zip
病院,44,0111050,城東病院,大分市牧２丁目１６－１６,097-558-7828,医療法人愛敬会　理事長　山田　滋,山田　滋,精神　精,104,昭37. 7. 1,kyushu/000491322.zip
病院,44,0111258,タキオ保養院,大分市大字片島１３５５番地,097-569-0870,医療法人愛恵会　理事長　原尻　紀久子,河村　幸佐,精神　精　心内,170,昭37. 9. 1,kyushu/000491322.zip
診療所,44,0111464,住友化学株式会社大分工場　健康推進センター,大分市大字鶴崎２２００番地,097-523-1112,住友化学株式会社大分工場　工場長　瀧　敏晃,園田　祥子,内　皮　救急科,,昭34. 8. 1,kyushu/000491322.zip
病院,44,0112710,医療法人社団親和会　衛藤病院,大分市大字上判田３４３３番地,097-597-0093,医療法人社団親和会　理事長　衛藤　龍,衛藤　龍,精神　精神科　内　老年精神科,232,昭43. 9. 1,kyushu/000491322.zip
病院,44,0112728,オアシス第二病院,大分市東鶴崎２丁目３番３０号,097-527-2500,医療法人善昭会　理事長　日野　洋,髙畑　克徳,一般　脳神経内科　内　精　リハ,108,昭43. 9. 1,kyushu/000491322.zip
診療所,44,0113320,日本製鉄株式会社　九州製鉄所　大分診療所,大分市大字西ノ洲１番地,097-553-2045,日本製鉄株式会社　九州製鉄所　副所長　栗田　泰司,油布　文枝,内　外　精,,昭47. 3. 1,kyushu/000491322.zip
病院,44,0114369,明野中央病院,大分市明野東２丁目７番３３号,097-558-3211,医療法人社団唱和会　理事長　中村　英次郎,中村　英次郎,一般　内　整外　リウ　形外　リハ　麻　放　ペインクリニック内科　呼,,昭53. 11. 1,kyushu/000491322.zip
診療所,44,0114534,正内科医院,大分市賀来北３丁目１番３号,097-549-2559,正　直温,正　直温,一般　内　消　循,,昭54. 11. 1,kyushu/000491322.zip
病院,44,0114765,大分泌尿器科病院,大分市長浜町２丁目１番３２号,097-532-3177,医療法人圭成会　理事長　松浦　愼太郎,永松　弘孝,一般　ひ　消化器内科　消化器外科　肛門外科　麻　整外,,昭56. 5. 1,kyushu/000491322.zip
病院,44,0114815,リバーサイド病院,大分市大字宮崎６番地の３,097-568-7991,医療法人社団青樹会　理事長　荒木　康夫,兼久　雅之,精神　内　精　心内,234,昭56. 7. 1,kyushu/000491322.zip
診療所,44,0114831,たねだ内科,大分市豊饒二丁目３番２３号,097-545-1122,種子田　秀樹,種子田　秀樹,内　胃　循　放　形外　美外　皮　美容皮膚科,,昭56. 10. 1,kyushu/000491322.zip
病院,44,0114864,大分健生病院,大分市古ケ鶴１丁目１－１５,097-558-5140,大分県医療生活協同組合　理事長　楢原　真由美,酒井　誠,一般　内　神内　呼　消　循　小　外　整外　リハ　放　皮　病理診断科,130,昭57. 1. 1,kyushu/000491322.zip
診療所,44,0115127,医療法人社団愛育会　曽根崎産婦人科医院,大分市二又町一丁目２番７号,097-543-3939,医療法人社団愛育会　理事長　衛藤　眞理,衛藤　眞理,一般　産　婦　小,,昭59. 2. 1,kyushu/000491322.zip
病院,44,0115150,緑ケ丘保養園,大分市大字丹生１７４７,097-593-3366,医療法人社団淵野会　理事長　渕野　勝弘,渕野　泰弘,精神　精神科　老年精神科　心内　内,270,昭59. 5. 1,kyushu/000491322.zip
診療所,44,0115226,大南クリニック,大分市大字中判田１８６４,097-597-6633,阿南　敏郎,阿南　敏郎,内　胃　循　小　外　こう　リハ　麻,,昭60. 4. 1,kyushu/000491322.zip
診療所,44,0115309,河野内科,大分市東津留２－１０－１８,097-552-1213,河野　道昌,河野　道昌,内,,昭61. 3. 1,kyushu/000491322.zip
病院,44,0115317,医療法人社団三杏会　仁医会病院,大分市古国府六丁目２番４７号,097-544-7171,医療法人社団三杏会　理事長　猿渡　研一,猿渡　研一,一般　内　消化器内科　呼内　糖尿病内科　腎臓内科　人工透析内科　循環器内科　放　リハ　ひ,,昭61. 4. 1,kyushu/000491322.zip
病院,44,0115457,大分共立病院,大分市明磧町１丁目２番９号,097-543-1177,医療法人岡仁会　理事長　岡　真一郎,岡　真一郎,一般　内　外　消化器内科　循環器内科　ひ,,昭62. 5. 1,kyushu/000491322.zip
診療所,44,0115465,大分内科腎クリニック,大分市顕徳町３丁目１番５号,097-535-1565,医療法人社団顕腎会大分内科クリニック　理事長　松山　誠,松山　誠,内科　糖尿病内科　腎臓内科　人工透析内科,,昭62. 5. 1,kyushu/000491322.zip
病院,44,0115531,医療法人社団親和会　えとう内科病院,大分市大字中判田１４２８番地の１,097-597-6150,医療法人社団親和会　理事長　衛藤　龍,松永　研一,一般　内　精　心内　消化器内科　循環器内科　呼内　リハ　リウ,,昭62. 11. 1,kyushu/000491322.zip
病院,44,0115564,大分県勤労者医療生活協同組合　大分協和病院,大分市大字宮崎９５３番地の１,097-568-2333,大分県勤労者医療生活協同組合　理事長　石本　健二,油布　慶子,一般　内　呼内　リハ　心内　循環器内科　放　腎臓内科　脳内,,昭62. 11. 1,kyushu/000491322.zip
病院,44,0115606,医療法人八宏会　有田胃腸病院,大分市牧１丁目２番６号,097-556-1772,医療法人八宏会　理事長　松山　幸弘,松山　幸弘,一般　消　こう　放　外　内　リハ　皮,,昭63. 1. 1,kyushu/000491322.zip
診療所,44,0115614,内科阿部医院,大分市中春日町１６番１３号,097-538-1633,医療法人社団信成会内科阿部医院　理事長　阿部　克成,阿部　克成,内　消化器内科　循環器内科　糖尿病内科　腎臓内科　内分泌内科,,昭63. 1. 1,kyushu/000491322.zip
病院,44,0115622,永冨脳神経外科病院,大分市西大道２丁目１番２０号,097-545-1717,医療法人健裕会　理事長　永冨　裕文,湧川　佳幸,一般　脳神経外科　脳神経内科　放　リハ　呼吸器内科　消化器内科　脳血管内科　神経眼科,153,昭63. 2. 1,kyushu/000491322.zip
病院,44,0115788,大分岡病院,大分市西鶴崎３丁目７番１１号,097-522-3131,社会医療法人敬和会　理事長　岡　敬二,亀井　誠治,一般　内　循環器内科　消化器内科　外　腫瘍内科　血液内科　糖尿病内分泌内科　呼内　消化器外科　心外　整外　神内　リハ　こう　麻　形外　脳外　皮　放　歯　歯外　矯歯　病理　ひ　救急科,203,平元. 2. 1,kyushu/000491322.zip
診療所,44,0115812,大分あべハートクリニック　内科・循環器科・リハビリテーション科,大分市萩原３丁目２２番２８号,097-552-1567,医療法人恵伸会　理事長　阿部　裕一,阿部　裕一,一般　内　循　リハ,,平元. 2. 1,kyushu/000491322.zip
診療所,44,0116034,えもと内科クリニック,大分市府内町２丁目５番３７号,097-532-3395,医療法人江本内科医院　理事長　江本　浩幸,江本　浩幸,内　呼　消　循,,平元. 9. 1,kyushu/000491322.zip
