med_type,pref_code,med_code,name,address,phone,opener,manager,depts,beds,designated_date,source
病院,21,0100118,公益社団法人岐阜病院,岐阜市日野東３－１３－６,,公益社団法人岐阜病院　理事長　鈴木　祐一郎,石井　俊也,精神　精　神　心内,478,昭32. 10. 21,ika
病院,21,0102197,医療法人香風会　黒野病院,岐阜市洞１０２０,,医療法人香風会　理事長　玉木　吉郎,村田　一郎,精神　精　老年精神科,250,昭35. 5. 1,ika
病院,21,0102551,岐阜赤十字病院,岐阜市岩倉町３－３６,,日本赤十字社　社長　清家　篤,長島　賢司,一般　一般（感染）　精神　内　消化器内科　消化器外科　循環器内科　呼内　精　外　大腸・肛門外科　整外　眼　耳い　小　ひ　皮　麻　リハ　産婦　脳外　放　病理　脳内　リウ　糖尿病・内分泌内科　血液内科　感染症内科　内視鏡内科　腎臓内科　内分泌外科,284,昭37. 11. 20,ika
病院,21,0103971,近石病院,岐阜市光町２－４６,,医療法人社団登豊会　理事長　近石　登喜雄,清水　克時,一般　外　内　循環器内科　消化器内科　呼吸器内科　整外　リウ　脳外　神内　皮　肛門外科　リハ　麻　放,125,昭46. 5. 1,ika
病院,21,0104169,医療法人社団双樹会　早徳病院,岐阜市宇佐南１－８－１,,医療法人社団双樹会　理事長　平野　智久,松原　長樹,一般　療養　外　整外　消化器外科　消化器内科　肛門外科　乳腺外科　心臓血管外科　内　人工透析内科　リハ,,昭47. 9. 1,ika
診療所,21,0104235,田中医院,岐阜市金園町９－８,,田中　武,田中　武,内　循環器内科　糖尿病内科　腎臓内科,,昭48. 2. 1,ika
病院,21,0104276,医療法人社団志朋会　加納渡辺病院,岐阜市加納城南通り１－２３,,医療法人社団志朋会　理事長　渡辺　寛,渡辺　寛,一般　内　外　整外　皮　ひ　肛門外科　リハ,,昭48. 4. 1,ika
診療所,21,0104821,医療法人　高井外科,岐阜市正木１９７８－７２,,医療法人高井外科　理事長　髙井　宏政,髙井　宏政,一般　外　肛門外科　消化器外科　麻,,昭53. 11. 1,ika
病院,21,0104862,城南病院,岐阜市茜部新所１－２１、２２,,鬼頭　秀明,鬼頭　秀明,療養　整外　リハ　リウ,,昭54. 3. 15,ika
病院,21,0104896,医療法人社団幸紀会　安江病院,岐阜市鏡島西２－４－１４,,医療法人社団幸紀会　理事長　安江　紀裕,安江　紀裕,一般　外　内　整外　脳神経外科　肛門外科　消化器外科　消化器内科　呼内　循環器内科　耳い　皮　リウ　リハ　放　麻　乳腺外科　糖尿病内科,,昭54. 4. 1,ika
