med_type,pref_code,med_code,name,address,phone,opener,manager,depts,beds,designated_date,source
病院,05,0110075,医療法人運忠会　土崎病院,秋田市土崎港中央４丁目４番２６号,018-845-4121,医療法人運忠会　理事長　後藤　英盛,八木　伸夫,一般　療養　内　呼吸器内科　消化器内科　循環器内科　外　皮　心内　歯　歯外　糖尿病・代謝内科　精,,昭32. 10. 1,shika
病院,05,0110307,医療法人回生会　秋田回生会病院,秋田市牛島西１丁目７番５号,018-832-3203,医療法人回生会　理事長　小泉　榮子,松本　康宏,精神　精　内　心内,393,昭32. 10. 1,ika
病院,05,0110653,医療法人久盛会　秋田緑ヶ丘病院,秋田市飯島字堀川８４番地,018-845-2161,医療法人久盛会　理事長　ミクレラン後藤　時子,高橋　賢一,精神　精　内　心内　神内,372,昭39. 11. 15,ika
診療所,05,0111149,地方職員共済組合秋田県支部診療室,秋田市山王四丁目１－２,018-860-3501,地方職員共済組合秋田県支部　支部長　鈴木　健太,萱場　恵,内,,昭43. 7. 1,ika
病院,05,0111206,社会医療法人明和会　中通総合病院,秋田市南通みその町３番１５号,018-833-1122,社会医療法人明和会　理事長　挽野　仁,千馬　誠悦,一般　内　精　脳神経内科　呼内　消　循　小　整外　脳外　呼外　心外　皮　ひ　産婦　眼　耳い　リハ　放　麻　病理　糖尿病・内分泌内科　緩和ケア内科　漢方内科　救急科　乳腺・内分泌外科　腎臓・リウマチ科　胸外　歯外　形外,413,昭43. 10. 15,shika
病院,05,0111651,医療法人緑陽会　笠松病院,秋田市浜田字藍ノ原５２番地,018-828-2258,医療法人緑陽会　理事長　笠松　千秋,金山　隆夫,精神　精　心内,187,昭47. 6. 1,ika
病院,05,0112147,御野場病院,秋田市御野場２丁目１４番１号,018-839-6141,医療法人　正観会　理事長　皆河　崇志,石黒　英明,療養　一般　内　リハ　神内　歯,125,昭53. 6. 15,shika
診療所,05,0112253,笠松医院,秋田市中通５－７－１９,018-831-5060,笠松　千秋,笠松　千秋,精　神　内,,昭54. 9. 10,ika
診療所,05,0112261,越後谷クリニック,秋田市東通仲町１－２５,018-835-0158,越後谷　武,越後谷　武,内　胃　外　こう,,昭54. 11. 16,ika
病院,05,0112337,細谷病院,秋田市南通宮田３番１０号,018-833-3455,医療法人　梅栄会　理事長　細谷　栄滋,細谷　貴美子,療養　内　消化器内科　リハ　脳内　形外,107,昭55. 4. 16,ika
診療所,05,0112428,高木内科胃腸科医院,秋田市将軍野南４－６－２０,018-845-1118,高木　紘一,高木　紘一,内　胃,,昭55. 12. 1,ika
病院,05,0112576,社会医療法人明和会　中通リハビリテーション病院,秋田市中通６丁目１番５８号,018-833-1131,社会医療法人明和会　理事長　挽野　仁,小貫　渉,療養　リハ　内　精,220,昭57. 11. 1,ika
病院,05,0112634,今村病院,秋田市下新城中野字琵琶沼１２４番地の１,018-873-3011,医療法人　久幸会　理事長　稲庭　千弥子,新山　喜嗣,精神　精神　精　神内　皮　内　心内　リハ,223,昭58. 5. 1,ika
病院,05,0112683,医療法人三愛会　秋田東病院,秋田市山内字丸木橋１６７番地３号,018-827-2331,医療法人三愛会　理事長　豊田　洋,豊田　洋,精神　精　心内　老年精神科,140,昭59. 10. 1,ika
病院,05,0112915,外旭川病院,秋田市外旭川字三後田１４２番地,018-868-5511,医療法人惇慧会　理事長　穗積　憲,小谷野　博正,一般　療養　内　リハ　皮,207,昭63. 10. 1,ika
診療所,05,0112949,鈴木内科医院,秋田市中通３－３－２４,018-832-2896,鈴木　和夫,鈴木　和夫,循　内,,平元. 4. 10,ika
病院,05,0112956,清和病院,秋田市柳田字石神５９番地,018-832-7667,医療法人清風会　理事長　藤枝　信夫,藤枝　信夫,精神　精　内　ひ　胃腸内科,120,平元. 6. 1,ika
診療所,05,0112980,小川内科医院,秋田市中通３丁目３番５５号,018-832-4013,医療法人　小川内科医院　理事長　島　仁,島　仁,一般　内　胃　循,,平元. 6. 1,ika
診療所,05,0112998,大野小児科医院,秋田市南通築地２－１５,018-832-5301,医療法人　大野小児科医院　理事長　大野　忠,大野　忠行,小　アレ　小児循環器科,,平元. 7. 1,ika
診療所,05,0113020,小林胃腸科内科,秋田市八橋田五郎２丁目１１－９,018-863-1188,小林　謙太郎,小林　謙太郎,胃　内　循　小,,平元. 11. 6,ika
診療所,05,0113046,真崎耳鼻咽喉科医院,秋田市土崎港中央６丁目８番３号,018-845-0234,医療法人　真和会　理事長　真崎　雅和,真崎　雅和,耳い　気食,,平2. 1. 1,ika
診療所,05,0113137,早川眼科伊奈皮ふ科医院,秋田市南通亀の町４－３６,018-832-2830,医療法人早川眼科医院　理事長　伊奈　慎介,伊奈　慎介,眼　皮,,平3. 3. 1,ika
診療所,05,0113178,武田胃腸クリニック,秋田市大町一丁目６番１２号,018-863-2711,医療法人武田胃腸クリニック　理事長　武田　正人,武田　正人,胃腸内科　糖尿病内科　内視鏡内科　肝臓内科　内　肛門内科,,平3. 8. 1,ika
診療所,05,0113186,山王整形外科医院,秋田市山王中島町１５番１８号,018-864-1100,医療法人圭山会　理事長　湊　昭策,湊　昭策,一般　一般　整外　形外　リハ,19,平3. 8. 1,ika
診療所,05,0113202,医療法人晨整会　工藤整形外科医院,秋田市広面字谷地田８－１,018-833-7444,医療法人晨整会　理事長　工藤　卓男,工藤　卓男,整外　リハ,,平3. 8. 1,ika
診療所,05,0113319,港町内科皮膚科,秋田市土崎港中央六丁目１３－２５,018-845-1482,鈴木　信愛,鈴木　信愛,内　消　循　皮,,平4. 5. 1,ika
診療所,05,0113335,福島内科医院,秋田市南通宮田１５－４６,018-837-1177,福島　幸隆,福島　幸隆,内　胃　循　小　リハ,,平4. 5. 6,ika
診療所,05,0113376,アーク循環器クリニック,秋田市広面字谷地沖２６番１,018-831-3311,柳澤　宗,柳澤　宗,循環器内科　内　腎臓内科,,平4. 8. 6,ika
診療所,05,0113400,吉田眼科,秋田市新屋日吉町７－４１,018-828-6080,吉田　武子,吉田　武子,眼,,平4. 9. 9,ika
診療所,05,0113541,御所野内科クリニック,秋田市御所野元町５丁目３番５,018-826-1446,細谷　重明,細谷　重明,内　リハ,,平6. 6. 1,ika
診療所,05,0113574,広面ファミリークリニック,秋田市広面字土手下５２番２号,018-831-1388,石川　正道,石川　正道,内　循　ひ　皮　呼　性　小,,平6. 10. 19,ika
診療所,05,0113582,みなみ整形外科クリニック,秋田市牛島東６丁目４番１号,018-837-0222,三浦　由太,三浦　由太,整外　リハ　リウ,,平6. 11. 1,ika
診療所,05,0113608,富田胃腸科内科医院,秋田市新屋豊町１０番３号,018-865-6587,医療法人　富田会　理事長　富田　崇志,富田　崇志,内　胃,,平7. 3. 1,ika
診療所,05,0113657,医療法人水沢医院,秋田市茨島４丁目６番３７号,018-866-5533,医療法人　水沢医院　理事長　水沢　広和,水沢　広和,内　消　外　こう,,平7. 8. 1,ika
診療所,05,0113665,木曽医院,秋田市外旭川字八幡田１０番地６,018-868-5115,医療法人翠松会　理事長　木曽　典一,木曽　典一,一般　内　呼　消　循　小,,平8. 1. 1,ika
診療所,05,0113681,濱島医院,秋田市保戸野すわ町１５－２０,018-823-5252,医療法人　内科胃腸科濱島医院　理事長　渡部　由紀,渡部　由紀,内　胃,,平8. 5. 1,ika
診療所,05,0113723,とむら皮ふ科,秋田市手形田中１１番２２号,018-836-4555,戸村　敦子,戸村　敦子,皮,,平8. 8. 8,ika
