med_type,pref_code,med_code,name,address,phone,opener,manager,depts,beds,designated_date,source
病院,45,0110028,医療法人真愛会高宮病院,宮崎市吉村町大町甲１９３１番地,0985-24-5678,医療法人真愛会高宮病院　理事長　高宮　眞樹,高宮　眞樹,精神　内　精　神,221,昭41. 10. 5,kyushu/000491323.zip
病院,45,0110366,医療法人慈光会宮崎若久病院,宮崎市福島町寺山３１４７番地,0985-51-1548,医療法人慈光会　理事長　野見山　晃,牧田　昌平,精神　精,190,昭41. 10. 26,kyushu/000491323.zip
診療所,45,0110549,株式会社宮崎山形屋医務室,宮崎市橘通東３丁目４番１２号,0985-31-3315,株式会社宮崎山形屋　代表取締役　畑中　英俊,三好　良英,精,,昭36. 1. 15,kyushu/000491323.zip
病院,45,0111836,一般財団法人弘潤会野崎病院,宮崎市大字恒久５５６７番地,0985-51-3111,一般財団法人弘潤会　理事長　野﨑　正太郎,石田　康,精神　療養　精　内　神　呼　消　循　リハ　放　心内,400,昭50. 4. 1,kyushu/000491323.zip
病院,45,0112560,医療法人社団紘和会平和台病院,宮崎市矢の先町１５０番地１,0985-24-2605,医療法人社団紘和会　理事長　山下　優子,山下　秀一,一般　療養　内　放　糖尿病内科　呼内　消化器内科,,昭55. 3. 1,kyushu/000491323.zip
診療所,45,0112867,竜内科クリニック,宮崎市希望ケ丘１丁目２１番１６号,0985-56-2877,龍　誠一郎,龍　誠一郎,内　小　放,,昭56. 11. 1,kyushu/000491323.zip
病院,45,0112875,医療法人財団志清会阿波岐ケ原病院,宮崎市阿波岐原町前浜４２７６番地７０６,0985-26-5050,医療法人財団志清会　理事長　丸山　英晴,岡本　剛,療養　内　呼内　循環器内科　消化器内科　放　リハ,,昭56. 11. 1,kyushu/000491323.zip
病院,45,0113113,医療法人社団晴緑会宮崎医療センター病院,宮崎市高松町２番１６号,0985-26-2800,医療法人社団晴緑会　理事長　種子田　吉郎,田畑　直人,一般　療養　内　外　消化器内科　消化器外科　整外　リハ　麻　緩和ケア内科,292,昭59. 6. 8,kyushu/000491323.zip
病院,45,0113162,医療法人清芳会井上病院,宮崎市大字芳士８０番地,0985-39-5396,医療法人清芳会　理事長　井上　雅文,井上　雅文,精神　精　心内,186,昭60. 4. 1,kyushu/000491323.zip
診療所,45,0113352,柴田眼科医院,宮崎市永楽町１３１番地,0985-24-7272,柴田　博,柴田　博,一般　眼,,昭62. 6. 1,kyushu/000491323.zip
