med_type,pref_code,med_code,name,address,phone,opener,manager,depts,beds,designated_date,source
病院,14,0100065,平和病院,横浜市鶴見区東寺尾中台２９－１,045-581-2211,医療法人平和会（社団）　理事長　増田　益功,増田　益功,一般　療養　内　外　皮　整外　婦　ひ　眼　神内　リハ　呼内　脳外　人透内　腎内　消内　緩ケア内　循内　乳外　麻,106,平23. 6. 1,ika
病院,14,0100362,医療法人社団育成社　佐々木病院,横浜市鶴見区下末吉１－１３－８,045-581-3123,医療法人社団育成社　理事長　佐々木　啓吾,佐々木　啓吾,一般　療養　内　外　呼　整外　眼　耳い　消　リハ　放　麻　こう　循　小　皮　ひ　乳外,,昭32. 10. 20,ika
診療所,14,0100735,潮田医院,横浜市鶴見区潮田町３－１３３－１,045-501-4769,鷲見　章,鷲見　章,内　小　放,,昭32. 10. 20,ika
診療所,14,0101378,東洋製罐グループエンジニアリング株式会社　健康支援室,横浜市鶴見区矢向６－１９－４５,045-571-1323,東洋製罐グループエンジニアリング株式会社　代表取締役　柴田　知之,大河内　明子,内　外　耳い　眼　皮,,平19. 10. 1,ika
診療所,14,0101675,山本医院,横浜市鶴見区下末吉１－１８－１９,045-571-3387,山本　喬,山本　喬,耳い　放,,昭34. 4. 1,ika
病院,14,0102228,医療法人社団　片山整形外科記念病院,横浜市鶴見区北寺尾４－１３－１,045-581-7137,医療法人社団片山整形外科記念病院　理事長　片山　英昭,片山　國亮,一般　整外　内　放　リハ,,昭39. 12. 1,ika
診療所,14,0102350,上野小児科内科医院,横浜市鶴見区上末吉４－８－３,045-571-3684,上野　あつ子,上野　あつ子,内　小,,昭41. 1. 15,ika
病院,14,0102657,医療法人社団養心会　鶴見西井病院,横浜市鶴見区北寺尾３－３－１,045-581-3055,医療法人社団養心会　理事長　西井　華子,西井　ヘルベルト,精神　精　神　児精　内,139,昭45. 8. 1,ika
診療所,14,0102723,田中小児科医院,横浜市鶴見区東寺尾２－１５－３４,045-581-2880,田中　広太郎,田中　広太郎,小,,昭46. 9. 15,ika
診療所,14,0102749,矢野医院,横浜市鶴見区豊岡町１３－３６,045-583-5281,矢野　敬児,矢野　敬児,胃　内　外　小,,平11. 4. 12,ika
