med_type,pref_code,med_code,name,address,phone,opener,manager,depts,beds,designated_date,source
病院,04,0210017,石巻赤十字病院,石巻市蛇田字西道下７１,0225-21-7220,日本赤十字社　社長　清家　篤,石橋　悟,一般　一般（感染）　内　呼内　神内　外　呼外　心外　小外　整外　脳外　形外　精　小　皮　ひ　産婦　眼　耳い　リハ　救命　麻　歯　歯外　病理　消化器外科　消化器内科　腫瘍内科　乳腺外科　緩和医療科　循環器内科　放射線診断科　放射線治療科　感染症内科　心内,460,平18. 5. 16,ika
病院,04,0210074,こだまホスピタル,石巻市山下町　２－５－７,0225-22-5431,医療法人有恒会　理事長　樹神　弘郎,虎岩　武志,精神　精　心内　睡眠障害精神科　老年内科,330,平8. 4. 1,ika
診療所,04,0211239,渡辺耳鼻咽喉科医院,石巻市貞山　１－４－５,0225-93-1131,渡辺　充,渡辺　充,耳い,,昭61. 10. 1,ika
診療所,04,0211304,医療法人社団佐藤整形外科医院,石巻市中央　１－１３－１７,0225-95-1755,医療法人社団佐藤整形外科医院　理事長　佐藤　俊一郎,佐藤　俊一郎,一般　整外　リハ　リウ,,昭64. 1. 1,ika
診療所,04,0211312,医療法人宏人会石巻クリニック,石巻市錦町　６－４５,0225-22-8822,医療法人宏人会　理事長　関野　慎,金澤　雅之,ひ,,平元. 6. 1,ika
病院,04,0211320,齋藤病院,石巻市山下町　１－７－２４,0225-96-3251,医療法人社団仁明会　齋藤　仁一,古関　義人,一般　療養　脳内　内　呼内　心外　リハ　循環器内科　消化器内科　糖尿病内科,,平元. 7. 1,ika
診療所,04,0211353,石巻診療所,石巻市穀町　５－２４,0225-23-0125,医療法人社団石巻診療所　理事長　矢崎重彦,矢崎　重彦,整外　内　リウ　リハ,,平元. 7. 1,ika
診療所,04,0211411,小林耳鼻咽喉科医院,石巻市蛇田字北経塚　７２－１,0225-95-9537,医療法人社団小林耳鼻咽喉科医院　理事長　小林　義臣,小林　義臣,耳い　気食　アレ,,平7. 11. 1,ika
診療所,04,0211429,六郷耳鼻咽喉科,石巻市鋳銭場　５－３５,0225-22-5012,医療法人社団六郷耳鼻咽喉科　理事長　六郷正暁,六郷　正曉,耳い　気食,,平2. 1. 1,ika
診療所,04,0211437,おおば小児クリニック,石巻市門脇字青葉西　３８－１,0225-93-9693,医療法人おおば小児クリニック　理事長　大場　泉,大場　泉,小　アレ,,平2. 1. 1,ika
診療所,04,0211452,ます皮膚科医院,宮城県石巻市茜平１－４－１,0225-93-3737,医療法人社団医眞会　理事長　舛　貴志,舛　貴志,皮,,平23. 9. 1,ika
診療所,04,0211478,高橋消化器内科,石巻市千石町　２－５,0225-95-1621,医療法人高橋消化器内科　理事長　高橋　邦広,高橋　邦広,内　消,,平2. 1. 1,ika
診療所,04,0211486,相沢泌尿器科医院,石巻市門脇町　１－５－１８,0225-22-2901,医療法人相沢泌尿器科医院　理事長　相沢正孝,相沢　正孝,ひ,,平2. 8. 1,ika
診療所,04,0211551,東海林内科胃腸科,石巻市門脇字二番谷地　１３－５６２,0225-96-2823,医療法人瑞穂会　理事長　東海林　正邦,東海林　正邦,内　消,,平3. 8. 1,ika
病院,04,0211569,医療法人社団　健育会　石巻健育会病院,石巻市大街道西３－３－２７,0225-94-9195,医療法人社団健育会　理事長　竹川節男,永野　功,一般　療養　内　神内　循　リハ,116,平27. 4. 1,ika
診療所,04,0211619,医療法人社団上石内科クリニック,石巻市清水町　１－７－１２,0225-22-2602,医療法人社団上石内科クリニック　理事長　上石　恵一,上石　恵一,内,,平4. 4. 1,ika
診療所,04,0211635,鈴木皮膚科医院,石巻市八幡町　２－５－１６,0225-22-3572,医療法人社団鈴木皮膚科医院　理事長　鈴木明宏,鈴木　明宏,皮,,平5. 1. 1,ika
診療所,04,0211692,医療法人社団かづま内科クリニック,石巻市鹿妻南１－１３－１６,0225-96-7700,医療法人社団かづま内科クリニック　理事長　江波戸郁子,片倉　恒徳,内　胃　心内　精,,平6. 1. 1,ika
診療所,04,0211734,池田整形外科医院,石巻市蛇田字東道下　４８－１,0225-23-2111,医療法人池田整形外科医院　理事長　池田理一郎,池田　理一郎,整外,,平8. 1. 1,ika
診療所,04,0211742,古山内科・循環器科,石巻市元倉　１－９－９－８,0225-23-0221,医療法人古山内科循環器科　理事長　古山元之,古山　元之,内　循環器内科　呼吸器内科,,平8. 1. 1,ika
診療所,04,0211767,宮城クリニック,石巻市中里　７－３－３５,0225-22-5410,宮城　秀晃,宮城　秀晃,精　内,,平9. 5. 1,ika
診療所,04,0211775,大街道もり眼科医院,石巻市大街道西２－１－２６,0225-23-3434,医療法人天悠会　理事長　森秀行,森　秀行,一般　眼,,平9. 7. 1,ika
診療所,04,0211809,阿部こどもクリニック,石巻市千石町　６－１１,0225-22-1152,医療法人阿部こどもクリニック　理事長　阿部淳一郎,阿部　淳一郎,小,,平10. 1. 1,ika
診療所,04,0211817,医療法人あべクリニック産科婦人科,石巻市大街道西２－１－８０,0225-22-3322,医療法人あべクリニック産科婦人科　理事長　阿部　雄悟,阿部　雄悟,一般　産婦,,平10. 1. 1,ika
診療所,04,0211825,伊藤内科クリニック,石巻市中里　２－１２－１,0225-96-6372,医療法人社団伊藤内科クリニック　理事長　伊藤健一,伊藤　健一,内　循,,平10. 1. 1,ika
