med_type,pref_code,med_code,name,address,phone,opener,manager,depts,beds,designated_date,source
病院,17,0110063,岡部病院,金沢市長坂町チ１５,076-243-1222,医療法人　積仁会　理事長　前田　義樹,長谷川　充,精神　精　歯　内,287,昭41. 11. 1,ika
病院,17,0110600,金沢聖霊総合病院,金沢市長町１丁目５の３０,076-231-1295,社会福祉法人聖霊病院　理事長　岩田　章,宮森　弘年,一般　内　漢方内科　小　外　整外　産婦　リハ　胃　麻　精,60,昭41. 11. 1,ika
病院,17,0110816,かないわ病院,金沢市普正寺町９の６,076-267-0601,医療法人明仁会　理事長　森川　精二,得永　敬信,精神　精　心内　循環器内科　内,185,昭41. 11. 1,ika
診療所,17,0111137,社会福祉法人　陽風園診療所,金沢市三口新町１丁目８－１,076-263-7101,社会福祉法人陽風園　理事長　平嶋　正実,東藤　義公,内,,昭41. 11. 1,ika
病院,17,0111145,国家公務員共済組合連合会　北陸病院,金沢市泉ヶ丘２丁目１３－４３,076-243-1191,国家公務員共済組合連合会　理事長　松元　崇,増永　高晴,一般　外　乳腺外科　心外　呼外　消化器外科　消化器内科　肛門外科　内　腎臓内科　内分泌代謝内科　循環器内科　整外　ひ　放　麻　リハ　呼内　脳内　リウマチ・膠原病内科,125,昭41. 11. 1,ika
病院,17,0111186,金沢市立病院,金沢市平和町３丁目７番３号,076-245-2600,金沢市長　村山　卓,高田　重男,一般　結核　感染　内　内分泌・糖尿病内科　血液内科　神内　呼内　消化器内科　循環器内科　腎臓・リウマチ科　小　外　整外　脳外　皮　ひ　産婦　眼　耳い　リハ　放　麻　神経精神科　病理,281,昭40. 8. 17,ika
病院,17,0111327,公益社団法人石川勤労者医療協会　城北病院,金沢市京町２０番３号,076-251-6111,公益社団法人石川勤労者医療協会　理事長　島　隆雄,藤　典才,療養　一般　内　消化器内科　循環器内科　呼内　脳内　アレ　リハ　気食　外　消化器外科　血管外科　呼外　こう　ひ　麻　整外　小　精　リウ　放　病理　婦　眼　皮,292,昭40. 7. 1,ika
診療所,17,0111822,国家公務員共済組合連合会北陸病院　金沢広坂合同庁舎診療所,金沢市広坂２丁目２番６０号,076-221-7566,国家公務員共済組合連合会　理事長　松元　崇,東谷　拓弥,内,,昭40. 11. 15,ika
病院,17,0112333,金沢赤十字病院,金沢市三馬２丁目２５１番地,076-242-8131,日本赤十字社　社長　清家　篤,寺﨑　修一,一般　内　呼　消　循　小　外　乳腺外科　整外　脳外　皮　ひ　こう　産婦　眼　リハ　放　麻,243,昭43. 10. 1,ika
病院,17,0112846,社会医療法人財団松原愛育会　松原病院,金沢市石引４丁目３番５号,076-231-4138,社会医療法人財団　松原愛育会　理事長　松原　拓郎,森川　恵一,精神　精　児童精神科　老年精神科　心内　神内　内,425,昭46. 4. 1,ika
病院,17,0113786,石川県立中央病院,金沢市鞍月東２丁目１番地,076-237-8211,石川県知事　山野　之義,岡田　俊英,一般　感染　内科（総合診療科）緩和ケア内科　腫瘍内科　血液内科　糖尿病・内分泌内科　腎臓内科・リウマチ科　心内　脳内　呼内　消化器内科　消化器外科　循環器内科　乳腺外科・内分泌外科　呼外　心外　小外　整外　形外　脳外　小児内科　新生児科　皮　ひ　産　婦　眼　耳い　放射線診断科（画像診断）　放射線治療科　放射線診断科（核医学科）　麻酔科・ペインクリニック　病理　救急科　リハ　臨床検査科　歯　歯外　女性診療科　免疫感染症科　遺伝診療科　集中治療科,630,昭51. 6. 1,ika
病院,17,0113877,金沢西病院,金沢市駅西本町６丁目１５番４１号,076-233-1811,医療法人社団博友会　理事長　菊地　勤,岩上　栄,一般　療養　内　腎臓内科　循環器内科　脳内　外　消化器外科　整外　脳外　リハ　形外　リウマチ・膠原病内科　小　婦　眼　こう　ひ,166,昭52. 1. 1,ika
診療所,17,0113950,愛育産婦人科医院,金沢市鳴和１丁目１３番６号,076-252-3535,油尾　俊一,油尾　俊一,一般　内　産婦,,昭52. 8. 2,ika
病院,17,0114016,小池病院,金沢市大手町８－２０,076-263-5521,医療法人社団博仁会　理事長　松田　研吾,松田　研吾,療養　療養　内　消化器内科　内視鏡内科　循環器内科　呼内　糖尿病内科　リハ,60,平元. 9. 1,ika
診療所,17,0114073,一般財団法人石川県予防医学協会　予防医学クリニック,金沢市神野町東１１５番地,076-249-7222,一般財団法人石川県予防医学協会　理事長　松崎　充意,魚谷　知佳,内　消化器内科　糖尿病内科　循環器内科　放,,昭53. 4. 10,ika
